Team,GF,GA,wGF,wGA,Home Adv
Arsenal,9,1,1.836734694,0.204081633,0.1
Aston Villa,0,4,0,0.816326531,0.1
Bournemouth,6,5,1.224489796,1.020408163,0.1
Brentford,5,7,1.020408163,1.428571429,0.1
Brighton,4,6,0.816326531,1.224489796,0.1
Burnley,4,7,0.816326531,1.428571429,0.1
Chelsea,9,3,1.836734694,0.612244898,0.1
Crystal Palace,4,1,0.816326531,0.204081633,0.1
Everton,5,3,1.020408163,0.612244898,0.1
Fulham,3,4,0.612244898,0.816326531,0.1
Leeds Utd,1,6,0.204081633,1.224489796,0.1
Liverpool,9,4,1.836734694,0.816326531,0.1
Manchester City,8,4,1.632653061,0.816326531,0.1
Manchester Utd,4,7,0.816326531,1.428571429,0.1
Newcastle Utd,3,3,0.612244898,0.612244898,0.1
Nottm Forest,4,8,0.816326531,1.632653061,0.1
Sunderland,5,3,1.020408163,0.612244898,0.1
Tottenham,8,1,1.632653061,0.204081633,0.1
West Ham Utd,4,11,0.816326531,2.244897959,0.1
Wolverhampton,2,9,0.408163265,1.836734694,0.1
