Team,w1B,w2B,w3B,wHR,wSO,wBB,wRest,wOBP,TB_R
Arizona Diamondbacks,1.03,1.14,1.54,0.84,0.95,0.97,1.04,1.01,2.945652174
Athletics,0.99,1.01,0.81,1.31,1.03,1.08,1.03,1.05,3.147169811
Atlanta Braves,1.01,0.95,0.87,1.11,1.08,0.99,1.01,1,2.832826748
Baltimore Orioles,1.06,0.96,0.92,1.04,0.95,0.96,1.03,1.01,2.881944444
Boston Red Sox,1.08,1.29,1.27,0.99,0.95,0.99,1.11,1.08,3.218106996
Chicago Cubs,1.01,0.93,1.24,1.06,1.02,1.03,1.01,1.01,2.824324324
Chicago White Sox,1.01,0.91,0.69,1.04,1.02,1.01,0.99,1,2.877133106
Cincinnati Reds,0.99,1.01,0.81,1.31,1.03,1.08,1.03,1.05,3.064393939
Cleveland Guardians,1,1.01,0.8,0.89,0.98,0.96,0.98,0.97,2.96969697
Colorado Rockies,1.13,1.22,2.04,1.08,0.85,0.95,1.16,1.1,3.066176471
Detroit Tigers,1.02,0.94,1.74,0.79,0.96,1.02,0.98,0.99,3.217741935
Houston Astros,0.99,0.98,1.05,1.01,1,1.04,0.99,1,3.058823529
Kansas City Royals,1.1,1.1,1.48,0.84,0.87,1,1.07,1.05,3.195121951
Los Angeles Angels,0.99,0.91,1.02,1.12,1.06,1.03,0.99,1,2.974637681
Los Angeles Dodgers,0.91,0.98,0.7,1.22,1.05,0.95,0.96,0.97,2.827272727
Miami Marlins,1.02,1.05,1.21,0.86,1.02,0.93,1.01,0.99,2.97761194
Milwaukee Brewers,0.91,0.9,0.86,1.09,1.1,1.09,0.93,0.97,2.458471761
Minnesota Twins,0.96,1.08,0.85,1.04,1.04,1.03,0.99,1,2.793918919
New York Mets,0.98,0.83,0.66,0.95,1.05,1.04,0.94,0.98,2.96812749
New York Yankees,0.91,0.86,0.46,1.16,1.07,1.08,0.93,0.97,2.8
Philadelphia Phillies,0.97,1.01,1.2,1.13,1.04,0.97,1,1,3.280991736
Pittsburgh Pirates,1.05,1.09,1.12,0.8,0.92,1.05,1.02,1.03,2.72
San Diego Padres,0.96,0.92,0.55,0.93,1.03,1.06,0.94,0.97,3.029787234
San Francisco Giants,1.02,1,1.2,0.84,1.01,0.94,1,0.98,3.556
Seattle Mariners,0.92,0.86,0.58,0.98,1.1,0.96,0.91,0.93,3.116104869
St. Louis Cardinals,1.04,1.01,0.78,0.9,0.9,0.97,1.01,1,3.007782101
Tampa Bay Rays,0.92,1,1.02,0.94,1.11,0.95,0.94,0.95,2.80952381
Texas Rangers,1.01,0.97,0.83,1.11,0.97,1.01,1.02,1.01,3.104417671
Toronto Blue Jays,0.98,1.07,0.55,1.04,0.98,0.94,1,0.99,3.151750973
Washington Nationals,1.06,1,0.85,1.07,0.89,0.97,1.04,1.03,2.688821752
