Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,PA/G,Hand
A.J. Minter,21.12676056338028,4.225352112676056,0.0,0.0,0.24647887323943662,0.13380281690140844,0.014084507042253521,0.014084507042253521,0.035211267605633804,3.8378378378378377,R
AJ Blubaugh,25.473684210526315,9.68421052631579,0.218,0.377,0.2736842105263158,0.10105263157894737,0.03368421052631579,0.004210526315789474,0.03368421052631579,6.622641509433962,R
AJ Smith-Shawver,20.652173913043477,11.594202898550725,0.0,0.0,0.3442028985507246,0.15217391304347827,0.04710144927536232,0.0036231884057971015,0.021739130434782608,21.0,R
Aaron Ashby,29.420970266040687,10.485133020344287,0.2068507462686567,0.28940298507462686,0.3161189358372457,0.15336463223787167,0.026604068857589983,0.004694835680751174,0.01564945226917058,5.123076923076923,L
Aaron Bummer,19.814241486068113,8.6687306501548,0.267,0.371,0.3560371517027864,0.14241486068111456,0.05263157894736842,0.006191950464396285,0.030959752321981424,4.190476190476191,L
Aaron Civale,19.256756756756758,6.981981981981982,0.24855326460481103,0.43052577319587626,0.32432432432432434,0.1463963963963964,0.057432432432432436,0.0011261261261261261,0.037162162162162164,16.22222222222222,R
Aaron Nola,24.476190476190474,7.523809523809524,0.24293857965451054,0.41455086372360844,0.32476190476190475,0.14761904761904762,0.0419047619047619,0.006666666666666667,0.047619047619047616,22.785714285714285,R
Abner Uribe,28.26923076923077,9.423076923076923,0.2073777777777778,0.2807959595959596,0.27307692307692305,0.13846153846153847,0.013461538461538462,0.0,0.013461538461538462,3.8627450980392157,R
Adam Macko,22.22222222222222,10.256410256410257,0.0,0.0,0.39316239316239315,0.21367521367521367,0.017094017094017096,0.0,0.02564102564102564,4.68,R
Adam Mazur,13.66906474820144,8.633093525179856,0.0,0.0,0.33093525179856115,0.1510791366906475,0.05755395683453238,0.0,0.02877697841726619,23.166666666666668,R
Adrián Morejón,26.68863261943987,6.589785831960461,0.0,0.0,0.25370675453047775,0.14827018121911037,0.019769357495881382,0.0016474464579901153,0.009884678747940691,4.796875,R
Adrian Houser,16.902834008097166,7.287449392712551,0.2606599190283401,0.4183967611336032,0.3188259109311741,0.15587044534412955,0.0465587044534413,0.006072874493927126,0.025303643724696356,18.076923076923077,R
Alan Rangel,23.577235772357724,10.569105691056912,0.0,0.0,0.37398373983739835,0.14634146341463414,0.06504065040650407,0.008130081300813009,0.032520325203252036,17.571428571428573,R
Albert Suárez,16.52173913043478,8.26086956521739,0.0,0.0,0.3,0.12608695652173912,0.04782608695652174,0.013043478260869565,0.030434782608695653,9.2,R
Alec Gamboa,18.0,7.000000000000001,0.0,0.0,0.25,0.1,0.05,0.01,0.01,6.666666666666667,R
Alek Jacob,15.032679738562091,9.15032679738562,0.0,0.0,0.3660130718954248,0.1503267973856209,0.0457516339869281,0.0,0.0392156862745098,5.275862068965517,R
Alex Hoppe,25.46583850931677,9.316770186335404,0.0,0.0,0.30434782608695654,0.13664596273291926,0.055900621118012424,0.0,0.012422360248447204,4.472222222222222,
Alex Lange,23.01255230125523,11.297071129707113,0.252,0.419,0.3598326359832636,0.14225941422594143,0.04184100418410042,0.008368200836820083,0.03347280334728033,4.596153846153846,R
Alex Vesia,31.16883116883117,12.121212121212121,0.18360496613995483,0.33065462753950337,0.27705627705627706,0.08658008658008658,0.02813852813852814,0.002164502164502164,0.02813852813852814,3.3225806451612905,L
Alexis Díaz,20.0,14.117647058823529,0.0,0.0,0.3764705882352941,0.058823529411764705,0.03529411764705882,0.011764705882352941,0.07058823529411765,4.722222222222222,R
Alimber Santa,15.254237288135593,10.16949152542373,0.0,0.0,0.23728813559322035,0.1016949152542373,0.01694915254237288,0.0,0.01694915254237288,5.9,R
Andrés Muñoz,34.34959349593496,10.16260162601626,0.0,0.0,0.2703252032520325,0.11788617886178862,0.02032520325203252,0.0020325203252032522,0.018292682926829267,3.981132075471698,R
Andre Granillo,19.78021978021978,7.6923076923076925,0.0,0.0,0.32967032967032966,0.15384615384615385,0.03296703296703297,0.02197802197802198,0.03296703296703297,6.5,
Andre Pallante,16.262705238467554,8.053166536356528,0.2544722439405786,0.389652853792025,0.32447224394057855,0.163408913213448,0.0437842064112588,0.003909304143862392,0.024237685691946835,23.5,R
Andrew Abbott,19.80495123780945,8.477119279819956,0.24857989497374347,0.41031732933233306,0.30607651912978245,0.14628657164291073,0.04051012753188297,0.002250562640660165,0.030007501875468866,23.178571428571427,L
Andrew Alvarez,22.08333333333333,10.625,0.252,0.381,0.3104166666666667,0.13958333333333334,0.0375,0.00625,0.0125,18.19047619047619,
Andrew Chafin,25.174825174825177,13.286713286713287,0.0,0.0,0.3356643356643357,0.18181818181818182,0.006993006993006993,0.0,0.013986013986013986,3.4047619047619047,R
Andrew Heaney,16.044776119402986,7.462686567164178,0.284,0.492,0.332089552238806,0.1287313432835821,0.06343283582089553,0.0018656716417910447,0.04664179104477612,19.85185185185185,R
Andrew Kittredge,24.470588235294116,5.411764705882353,0.23769876543209878,0.3791851851851852,0.28,0.14823529411764705,0.04,0.004705882352941176,0.03294117647058824,3.92,R
Andrew Morris,21.071428571428573,7.857142857142857,0.23,0.326,0.31785714285714284,0.175,0.03571428571428571,0.007142857142857143,0.014285714285714285,5.185185185185185,
Andrew Nardi,27.27272727272727,11.11111111111111,0.0,0.0,0.3333333333333333,0.12121212121212122,0.050505050505050504,0.0,0.04040404040404041,3.96,L
Andrew Painter,19.956140350877195,8.114035087719298,0.249,0.411,0.3267543859649123,0.16228070175438597,0.03289473684210526,0.0021929824561403508,0.03728070175438596,21.714285714285715,R
Andrew Saalfrank,16.8141592920354,8.849557522123893,0.0,0.0,0.25663716814159293,0.12389380530973451,0.035398230088495575,0.0,0.008849557522123894,4.035714285714286,R
Angel Chivilli,16.95402298850575,8.620689655172415,0.27,0.478,0.3649425287356322,0.16954022988505746,0.04022988505747127,0.0,0.04885057471264368,4.866666666666666,R
Angel Zerpa,21.09090909090909,8.0,0.24600000000000002,0.399,0.33090909090909093,0.15636363636363637,0.06181818181818182,0.0,0.025454545454545455,3.9855072463768115,L
Anthony Banda,21.555555555555557,11.333333333333334,0.206,0.355,0.32,0.10222222222222223,0.051111111111111114,0.0022222222222222222,0.028888888888888895,4.0,L
Anthony Bender,24.127906976744185,9.593023255813954,0.215,0.365,0.26453488372093026,0.10755813953488372,0.03197674418604651,0.0029069767441860465,0.011627906976744186,4.0,R
Anthony DeSclafani,21.301775147928996,7.100591715976331,0.0,0.0,0.31952662721893493,0.10650887573964497,0.047337278106508875,0.0,0.0650887573964497,13.0,R
Anthony Kay,18.494271685761046,8.01963993453355,0.258,0.413,0.33878887070376434,0.14729950900163666,0.03764320785597381,0.006546644844517185,0.031096563011456628,21.821428571428573,L
Anthony Molina,15.0,3.75,0.0,0.0,0.375,0.2,0.05,0.0,0.075,9.411764705882353,R
Anthony Nunez,25.229357798165136,11.46788990825688,0.22300000000000003,0.374,0.3119266055045872,0.12385321100917432,0.03211009174311927,0.009174311926605505,0.022935779816513763,4.954545454545454,
Anthony Veneziano,21.367521367521366,9.401709401709402,0.0,0.0,0.3504273504273504,0.1452991452991453,0.042735042735042736,0.017094017094017096,0.03418803418803419,4.5,R
Antonio Senzatela,14.237668161434977,7.8475336322869955,0.29811210762331836,0.4874798206278027,0.3755605381165919,0.1984304932735426,0.05044843049327354,0.006726457399103139,0.030269058295964126,5.829787234042553,R
Aroldis Chapman,35.046728971962615,8.177570093457945,0.1781726618705036,0.2816258992805755,0.2336448598130841,0.102803738317757,0.03271028037383177,0.002336448598130841,0.011682242990654205,4.0212765957446805,L
Austin Cox,21.568627450980394,6.862745098039215,0.0,0.0,0.3627450980392157,0.13725490196078433,0.06862745098039216,0.0,0.08823529411764706,7.846153846153846,R
Austin Gomber,12.5,6.25,0.279,0.553,0.36764705882352944,0.16911764705882354,0.0661764705882353,0.007352941176470588,0.058823529411764705,22.666666666666668,R
Austin Warren,25.555555555555557,11.11111111111111,0.252,0.4109999999999999,0.34444444444444444,0.11666666666666667,0.07222222222222222,0.0,0.027777777777777776,5.625,R
Bailey Falter,15.637065637065636,8.880308880308881,0.263,0.462,0.3127413127413127,0.13127413127413126,0.052123552123552123,0.0019305019305019305,0.03667953667953668,19.923076923076923,L
Bailey Ober,18.074477747502275,5.631244323342416,0.249299727520436,0.46113351498637606,0.3060853769300636,0.14259763851044505,0.05722070844686648,0.0,0.043596730245231606,22.714285714285715,R
Beau Brieske,15.53398058252427,11.650485436893204,0.0,0.0,0.34951456310679613,0.14563106796116504,0.038834951456310676,0.0,0.04854368932038835,4.681818181818182,R
Beck Way,20.0,9.523809523809524,0.0,0.0,0.3619047619047619,0.20952380952380953,0.009523809523809525,0.0,0.0380952380952381,5.526315789473684,R
Ben Brown,25.335120643431637,7.10455764075067,0.24285345997286295,0.40864993215739487,0.30294906166219837,0.15415549597855227,0.036193029490616625,0.006702412868632708,0.02680965147453083,13.25,R
Ben Casparius,21.32132132132132,6.306306306306307,0.24000000000000002,0.393,0.3063063063063063,0.14114114114114115,0.06606606606606606,0.003003003003003003,0.024024024024024024,7.239130434782608,R
Ben Lively,16.292134831460675,8.426966292134832,0.0,0.0,0.29775280898876405,0.1348314606741573,0.0449438202247191,0.0,0.033707865168539325,19.77777777777778,R
Ben Peoples,14.705882352941178,11.76470588235294,0.0,0.0,0.3382352941176471,0.14705882352941177,0.014705882352941176,0.0,0.04411764705882353,4.25,R
Bennett Sousa,27.181208053691275,9.395973154362416,0.0,0.0,0.3053691275167785,0.13758389261744966,0.050335570469798654,0.0,0.02348993288590604,4.125,R
Blade Tidwell,17.67241379310345,9.913793103448276,0.0,0.0,0.35344827586206895,0.1724137931034483,0.030172413793103446,0.0,0.03879310344827586,11.846153846153847,R
Blake Snell,30.223123732251523,10.344827586206897,0.224,0.322,0.28600405679513186,0.13387423935091278,0.030425963488843813,0.002028397565922921,0.012170385395537525,21.8,R
Blake Treinen,25.68093385214008,12.062256809338521,0.0,0.0,0.36964980544747084,0.1556420233463035,0.054474708171206226,0.0038910505836575876,0.023346303501945526,3.4482758620689653,R
Blas Castano,19.78021978021978,6.593406593406593,0.0,0.0,0.3626373626373626,0.18681318681318682,0.02197802197802198,0.02197802197802198,0.04395604395604396,8.272727272727273,R
Bowden Francis,18.75,9.375,0.281,0.501,0.3611111111111111,0.1597222222222222,0.017361111111111112,0.003472222222222222,0.06597222222222222,20.571428571428573,R
Brad Keller,25.86605080831409,8.54503464203233,0.197,0.296,0.2840646651270208,0.14087759815242495,0.013856812933025405,0.0,0.020785219399538105,4.21875,R
Brad Lord,20.770128354725788,8.401400233372229,0.2558471411901984,0.41304900816802803,0.30921820303383896,0.14819136522753792,0.03267211201866978,0.0035005834305717625,0.029171528588098017,9.147058823529411,R
