Hitters,Homer %,Hit%,xBases
Junior Caminero,0.3757303347415355,0.768628782252974,2.463871655603486
Yordan Alvarez,0.28766173227170755,0.7852649084398083,2.4456504922823394
Joshua Baez,0.4330797889364797,0.6242134300814446,2.2742446786185178
Yandy Diaz,0.2422589876792155,0.8107774404753098,2.2338706361280702
Joshua Baez,0.40398880915014823,0.5903986294367854,2.0569671908263474
Jonathan Aranda,0.19322374913011153,0.7698283730975903,2.030090080179361
Jeremy Pena,0.20981872726768247,0.7789587276961785,2.024365447276697
Kyle Stowers,0.17199176047365106,0.7457828055519988,2.012118586127668
Bobby Witt Jr.,0.11544384761088555,0.803844619086975,1.9253963673789904
Wilyer Abreu,0.24094687909339374,0.7139050064537962,1.8924605819256466
Jackson Chourio,0.19927425035239166,0.7305329539545538,1.8782607071903037
Dominic Canzone,0.24441986929059067,0.6791184031464486,1.851371876501204
Pete Crow-Armstrong,0.3095934818280216,0.6453241622139058,1.843518465450197
Brandon Lowe,0.25198578305578945,0.712406922057994,1.8422790056533245
Corey Seager,0.16579919582274427,0.7219528201844992,1.8366126288659275
Roman Anthony,0.13721389809768858,0.7553983652862718,1.8362887861134047
Chandler Simpson,0.17081036429991647,0.8150081238262654,1.8360991569483458
Heriberto Hernandez,0.16709962230344122,0.7344314237296565,1.8309123988935139
Cal Raleigh,0.3537836156926324,0.5559643370670018,1.8043715520684827
Jonah Cox,0.23521545759364137,0.6078735826863093,1.7528203433162828
Griffin Conine,0.16777790407075566,0.7145078518920924,1.7335695976646268
Jac Caglianone,0.14259684424190922,0.7499877763845503,1.7304018536768393
Alec Burleson,0.17210479902398257,0.7126945996001731,1.7187430082767103
Otto Lopez,0.07630750363073568,0.7809378361077692,1.7182633784150605
Pete Alonso,0.16093174995491766,0.7137621236045568,1.7177957829782873
Jonny DeLuca,0.15657121955238373,0.7351284715364974,1.700899866220372
Justin Foscue,0.1901149307901806,0.6825629456374314,1.6913255286854088
Julio Rodriguez,0.23165819314245417,0.6587969148998014,1.6904797113154815
Daulton Varsho,0.21046231717389097,0.6692230975205639,1.6817382986619993
Salvador Perez,0.13825915492353213,0.7277039117393476,1.6767462948296084
Vladimir Guerrero Jr.,0.15425856710427954,0.7319888586084611,1.6654157484141663
Seiya Suzuki,0.2804969690464323,0.6235641390990729,1.6561938584570295
Rafael Devers,0.23682511020759833,0.6047706362711619,1.639030249889276
Christian Walker,0.21769074987274895,0.6576878701908535,1.6331661031017273
Yainer Diaz,0.1746533548497441,0.7031395782399582,1.6273245554512048
Brian Serven,0.2902632822188844,0.6175520058473941,1.6229337618941377
Isaac Paredes,0.2077208960503334,0.6940761594635355,1.6182858040326495
Carter Jensen,0.1482700446024119,0.6984046243867725,1.6124246842200192
Brandon Nimmo,0.1187375176527452,0.72779133435413,1.6110499503700706
Jake Bauers,0.19621679383771062,0.6628903746307948,1.610314839178514
Randy Arozarena,0.21716466445808025,0.6323326475801982,1.5909107451573279
Brice Turang,0.14065602488913476,0.7049027923336295,1.5810087554886545
Jordan Walker,0.17747686146631292,0.6693024744360521,1.5756805377361103
Mickey Gasper,0.18979678172760894,0.6932640401643031,1.573815925205913
Freddie Freeman,0.07176943522088186,0.7272266986271283,1.5706809339134353
Adley Rutschman,0.14934023981317157,0.7037469133798215,1.568054727042887
Michael Busch,0.2546077856463147,0.6063936966046389,1.566002205909764
Vinnie Pasquantino,0.12763480633361635,0.7237867285071488,1.5508374858514529
Wyatt Langford,0.14604166182588607,0.6802029577129883,1.5433585370006022
Jake Burger,0.1511557074814337,0.6718155539826318,1.540333141451167
Bryan Reynolds,0.12169564475272865,0.6984004091721057,1.5291004311487804
Jo Adell,0.13453893724012578,0.6695338642003461,1.525954848782285
Andrew Vaughn,0.127559155359929,0.7040670604353141,1.5241084127509532
Javier Sanoja,0.06130088549667079,0.7498239748117638,1.5140845767943667
Oneil Cruz,0.19166277233607087,0.6393920037767219,1.5043102781738924
Teoscar Hernandez,0.09203320307857665,0.691617253578227,1.5000134212910425
Turner Hill,0.11942399881065069,0.6851231045827814,1.4936843159151554
Brett Bateman,0.1386940112897841,0.7207189632821587,1.4916465976033477
Spencer Horwitz,0.13539743264929072,0.7001302056340521,1.489748580176504
Ivan Herrera,0.1621052521926054,0.6792060826273881,1.4865292033636737
Ezequiel Duran,0.08866464199826118,0.7214213808897691,1.485596217394634
Bryce Eldridge,0.16709882009935195,0.607834893193985,1.4844231746722074
Blaze Alexander,0.06931509019028181,0.7324686957465082,1.472997801318106
Will Smith,0.07593536017366975,0.6892314546263278,1.4710483403064227
William Contreras,0.12546691409206556,0.6918036043621572,1.4691175858856726
Mookie Betts,0.07248254505223439,0.7179515241573011,1.4503497392687419
Jorge Mateo,0.14146152952798396,0.659003487054596,1.4457377106870846
Chase DeLauter,0.07628608879896015,0.7221631936266919,1.4439139300327888
Eli White,0.1703366832383496,0.6717340716852617,1.4407772624847826
Christian Encarnacion-Strand,0.1381809772414183,0.6457150758678043,1.4376599699941603
Nathan Lukes,0.1333313769391945,0.700024216716797,1.4368064077104812
Christian Yelich,0.15898635023927554,0.6492743813002546,1.4345893307289188
Cedric Mullins,0.19540539737018003,0.6227998018100181,1.4340933790785004
Tommy Edman,0.0687630255737618,0.7264455002480545,1.4266981412913355
Jarren Duran,0.14869457352669702,0.6675714943770441,1.4236760646612465
Nick Gonzales,0.05822637018738763,0.7470937923680058,1.412077864157061
Agustin Ramirez,0.09572994621609654,0.6833603818892863,1.4030108005230715
Josh Naylor,0.14957157180492597,0.6516228458836666,1.3985274944918857
Michael Massey,0.07248389549060541,0.7256506662928239,1.396974396974565
Coby Mayo,0.14445919341325264,0.639263547779901,1.3964928304106325
Munetaka Murakami,0.251270307069658,0.5255130494001399,1.3920573700798333
Jose Ramirez,0.0996523460111497,0.6946186554834617,1.3714715766607353
Joe Mack,0.1352333736513438,0.6533974573941619,1.363824845987935
Nick Sogard,0.05823573738002685,0.708922390907151,1.3550084504362214
Caleb Durbin,0.12214728760578786,0.6968428266885933,1.3433787941163016
Alex Bregman,0.2130740774354133,0.6073996548621178,1.3423078858787747
Zack Gelof,0.15523314312935843,0.5885806140895429,1.3391952324873375
Jakob Marsee,0.06210898480672311,0.6793330653106452,1.3372448481510055
Luis Robert Jr.,0.11529821860638034,0.6676358603392496,1.333999722846029
Cam Smith,0.12866014296762973,0.6234426438636502,1.3137327237697405
Drew Gilbert,0.12362444443938714,0.6183351375587636,1.3125601017521094
Ian Happ,0.21483133199125826,0.5566128250974136,1.3046143528816767
Gunnar Henderson,0.09282413967597325,0.681676393961692,1.3011183182330108
Henry Bolte,0.0906387400816584,0.6614014904525327,1.29093593904468
Garrett Mitchell,0.07735173632186587,0.6457843235489851,1.2903531066181384
Miguel Vargas,0.15431363822727173,0.5973069223686673,1.2828644218212744
Richie Palacios,0.10640685272596373,0.6737336994967665,1.2772643140447957
Colson Montgomery,0.21802002346711524,0.5377236684951583,1.275786236660494
Rafael Flores Jr.,0.11875559791831125,0.6527776847513923,1.275076560956896
Miguel Rojas,0.04238904834700219,0.6948868932082132,1.2698684167212608
Nick Fortes,0.09774626940778164,0.6637467252015452,1.258446917742984
Jung Hoo Lee,0.06975178962158446,0.6554181373205493,1.2560282368821707
Taylor Trammell,0.1395304531415419,0.5674232519421998,1.2499115531237281
Lawrence Butler,0.12295453018910985,0.5988784576651345,1.2438269434412756
Jake Mangum,0.04010769560220406,0.7139582094184882,1.2436161915640498
Randal Grichuk,0.14043871003910424,0.5961345528347379,1.2349374151733103
Andrew Benintendi,0.1512715535210375,0.5918500512075451,1.2250664869189762
Ramon Urias,0.1463637555802133,0.5830961900702959,1.2249221265035213
Myles Straw,0.06166011833059015,0.6665563758272092,1.2196746368638256
Steven Kwan,0.031072080349098696,0.7185708059484119,1.2088815531311856
Ernie Clement,0.07406316407362978,0.6658164244712422,1.1989172257600655
Kyle Tucker,0.059546490627319204,0.6411873762213658,1.1984217087800757
Lazaro Montes,0.1377890232101745,0.5758107198740539,1.1954671515151505
Nathaniel Lowe,0.08923493116677528,0.6281446378299713,1.185920344014935
Jeff McNeil,0.08245278790727473,0.641807051014421,1.1793130108438468
Brandon Valenzuela,0.14571708572562692,0.5920772859820109,1.1758224435573195
Cole Young,0.13219759959883204,0.5914322988490839,1.1705563733202968
Jonah Heim,0.12286747776334972,0.5811959469705934,1.167516262652995
Josh Smith,0.09199288743989997,0.6280122923418991,1.1644057994645611
Michael Stefanic,0.09943033094482112,0.5937143139788739,1.15939283645376
Sam Antonacci,0.07331450248439242,0.6601564641825616,1.156065032708776
Logan O'Hoppe,0.08323149707386579,0.6196154938013578,1.1422653618025744
Osleivis Basabe,0.16162209744862588,0.5586451640422923,1.1379721344502056
Graham Pauley,0.061405159606105264,0.6101826886747127,1.1360964806965776
Angel Genao,0.060826482758486344,0.654614803279769,1.134850484456293
Leo Bernal,0.11678058233135835,0.5850875907176893,1.130711605204318
Michael Conforto,0.1803821345392458,0.5191302265811458,1.1220999569726993
Thomas Saggese,0.07217699561824109,0.609666976348479,1.1158174924448743
Drew Cavanaugh,0.11332802218093929,0.5986215523663877,1.1112983987311162
Elias Diaz,0.1018678049409526,0.5929267295988935,1.1095694045221185
Pedro Ramirez,0.11756408405945062,0.6058797968246379,1.1049827029892878
Andres Gimenez,0.09206240279181799,0.6219703562594943,1.0999597152547174
Carson Kelly,0.1751172684197917,0.54208948506107,1.0905874039657766
Sean Keys,0.13085133902130053,0.5596480951393049,1.087503948136045
Isaac Collins,0.05281109279866081,0.6540840305408009,1.0798162827276596
Dylan Beavers,0.0671901804122168,0.6002417018094968,1.0712712938568236
Enrique Hernandez,0.06667415053713266,0.5783140499884777,1.0709800238889629
Isiah Kiner-Falefa,0.03344026757651131,0.6832712635929075,1.0685722798262312
Nico Hoerner,0.07370687392857833,0.6512956431367196,1.066436813233223
Max Muncy,0.17172774904406762,0.5015473734910764,1.05195414567646
Joey Ortiz,0.07533942520889936,0.6269515449586136,1.0490777283731614
J.P. Crawford,0.10844780803445053,0.5686163271476645,1.0466116974239537
Cody Freeman,0.06880589655834546,0.6404921223540276,1.0381000311848232
Jared Triolo,0.06184201335034023,0.6233969113232958,1.0281135087597761
Nick Allen,0.02090362557698089,0.6611383582521939,1.02652065045582
Nathan Church,0.10821138938108377,0.5816771617125063,1.0228277207256309
Alika Williams,0.06206810267810081,0.5748472135255811,1.0205823953599995
Nick Yorke,0.049144231115559434,0.6360904400494971,1.016777239438098
Alex Call,0.023903203289477815,0.6187047344008686,1.0077612368452566
Daniel Schneemann,0.06506188393314882,0.562567697765956,1.0024701671672136
Kyle Isbel,0.04581618797071052,0.648030330586958,0.993700537834429
Josh Rojas,0.043032041307756175,0.623521440723207,0.9838818446257274
Leody Taveras,0.051988313605390135,0.5912847502684627,0.9705805345305292
Braden Montgomery,0.06867047453874353,0.5788001525521094,0.9684726684831384
Carlos Narvaez,0.06861555635272176,0.5606068234692265,0.9541736540905297
Brayan Rocchio,0.042525400799233726,0.6064245090737572,0.9479458708592117
David Hamilton,0.08028630003540915,0.5730177117139476,0.946646538173078
Patrick Bailey,0.0466999824320502,0.5740192437339922,0.9428791005970927
Christian Koss,0.051569514337051925,0.5570674989405497,0.9366978405985769
Chase Meidroth,0.06055738351862061,0.5801243247046767,0.8829167535691382
Brock Rodden,0.12639314985419392,0.3685742203376007,0.7236963246404955
Jake Rogers,0.08282790944211615,0.42582072689189987,0.6943832189180936
