x`,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR,Bases Acquired,Potential Runs,QA,Total Opportunities,Outs Made,CRE,CRE/G
Arizona Diamondbacks,125,4217,587,1071,223,30,139,555,410,971,125,21,0.254,0.324,0.42,0.744,4729,40,25,33,85,1121,1.01,1771,8,0.297,30.34,2120,1211,1726,4257,2794,528.3570486,4.85
Athletics,123,4209,715,1152,214,14,235,690,422,999,101,17,0.274,0.344,0.499,0.843,4713,48,1,31,104,1031,0.97,2099,18,0.305,17.91,2313,1234,1906,4129,2663,625.5355152,5.9
Atlanta Braves,124,4200,612,1064,236,23,145,595,393,1033,83,20,0.253,0.319,0.424,0.743,4686,33,18,40,88,1017,0.89,1781,9,0.3,28.97,2038,1178,1650,4164,2774,500.8611645,4.64
Baltimore Orioles,124,4233,607,1109,266,15,143,581,375,1011,87,21,0.262,0.327,0.433,0.76,4705,51,9,29,90,1063,0.98,1834,11,0.311,29.6,2105,1221,1715,4218,2762,529.8583607,4.91
Boston Red Sox,123,4163,617,1059,194,21,151,593,440,1102,105,24,0.254,0.331,0.42,0.751,4712,58,10,39,77,1005,0.96,1748,7,0.308,27.57,2145,1259,1694,4287,2776,543.9614682,5.04
Chicago Cubs,124,4227,514,1008,200,11,135,496,303,1093,76,16,0.238,0.295,0.387,0.682,4620,47,13,25,90,1133,1.1,1635,16,0.289,31.31,1862,1078,1535,4152,2871,430.2065396,3.91
Chicago White Sox,125,4234,595,1054,213,26,144,569,426,1155,141,35,0.249,0.326,0.414,0.74,4770,69,16,25,77,1001,0.94,1751,8,0.307,29.4,2166,1233,1716,4367,2818,539.2891394,4.9
Cincinnati Reds,125,4241,500,1055,227,25,89,466,359,869,100,25,0.249,0.311,0.377,0.688,4678,38,10,30,88,1163,0.97,1599,28,0.292,47.65,1923,1177,1544,4216,2818,454.8230676,4.17
Cleveland Guardians,124,4202,547,1052,235,18,126,522,343,1167,48,18,0.25,0.311,0.405,0.716,4632,45,8,33,95,960,0.9,1701,6,0.315,33.35,1899,1124,1555,4089,2772,452.2778097,4.19
Colorado Rockies,124,4194,490,985,189,19,125,472,368,1104,55,18,0.235,0.3,0.378,0.678,4625,30,8,24,89,1052,0.97,1587,6,0.288,33.55,1791,1100,1423,4111,2837,408.3953987,3.78
Detroit Tigers,125,4251,608,1070,205,11,162,588,420,984,90,23,0.252,0.324,0.419,0.743,4765,50,9,30,93,1051,0.89,1783,12,0.29,26.24,2056,1186,1650,4230,2809,506.0140694,4.64
Houston Astros,126,4237,505,1034,208,32,121,486,301,1073,123,32,0.244,0.3,0.394,0.694,4649,57,12,41,74,1000,0.85,1669,8,0.296,35.02,1861,1054,1533,4134,2823,424.2250991,3.86
Kansas City Royals,125,4243,597,1062,195,20,184,575,408,1158,60,22,0.25,0.323,0.436,0.759,4763,64,5,38,99,970,0.89,1849,20,0.299,23.06,2205,1238,1746,4270,2804,558.9684675,5.13
Los Angeles Angels,123,4157,687,1044,230,15,194,665,502,1039,75,18,0.251,0.337,0.454,0.791,4781,61,4,51,70,941,0.79,1886,24,0.286,21.43,2261,1291,1742,4223,2754,584.3925109,5.51
