Team,Spread
San Antonio Spurs,+8.5
Boston Celtics,-8.5
Indiana Pacers,-9.5
Washington Wizards,+9.5
Charlotte Hornets,+12.5
Orlando Magic,-12.5
Atlanta Hawks,+8
New York Knicks,-8
Cleveland Cavaliers,-13.5
Toronto Raptors,+13.5
Philadelphia 76ers,-2.5
Brooklyn Nets,+2.5
Detroit Pistons,-6
Chicago Bulls,+6
Miami Heat,+13.5
Oklahoma City Thunder,-13.5
Sacramento Kings,-5
New Orleans Pelicans,+5
Milwaukee Bucks,+6
Minnesota Timberwolves,-6
Phoenix Suns,+6.5
Houston Rockets,-6.5
Los Angeles Lakers,-8
Utah Jazz,+8
Portland Trail Blazers,+12
Denver Nuggets,-12
Golden State Warriors,-5
Dallas Mavericks,+5
Memphis Grizzlies,+4.5
Los Angeles Clippers,-4.5
