Team,Off,oLastThree,oHome,oAway,adjO,Def,dLastThree,dHome,dAway,adjD,Tempo,adjT
Atlanta Hawks,1.086,1.132,1.083,1.088,0.984022471,1.109,1.051,1.104,1.113,1.00474134,107,1.042275472
Boston Celtics,1.158,1.225,1.171,1.147,1.04926153,1.069,1.094,1.089,1.051,0.968501797,101.2,0.985778297
Brooklyn Nets,1.051,1.038,1.027,1.073,0.95230904,1.113,1.014,1.106,1.12,1.008365295,100,0.974089227
Charlotte Hornets,1.05,1.059,1.052,1.047,0.951402942,1.103,1.117,1.087,1.122,0.999305409,101.6,0.989674654
Chicago Bulls,1.092,0.996,1.084,1.1,0.989459059,1.134,1.252,1.132,1.135,1.027391055,106.4,1.036430937
Cleveland Cavaliers,1.187,1.194,1.185,1.189,1.075538373,1.085,1.087,1.058,1.118,0.982997614,103.2,1.005260082
Dallas Mavericks,1.129,1.197,1.132,1.127,1.022984687,1.109,1.142,1.076,1.138,1.00474134,102.5,0.998441457
Denver Nuggets,1.169,1.266,1.194,1.146,1.059228609,1.116,1.04,1.118,1.113,1.01108326,103.8,1.011104617
Detroit Pistons,1.096,1.209,1.093,1.1,0.993083452,1.095,1.002,1.099,1.091,0.9920575,103.4,1.00720826
Golden State Warriors,1.091,1.165,1.084,1.099,0.988552961,1.089,1.08,1.089,1.089,0.986621569,102.8,1.001363725
Houston Rockets,1.1,1.049,1.082,1.114,0.996707844,1.059,1.106,1.03,1.082,0.959441911,102.6,0.999415546
Indiana Pacers,1.121,1.13,1.143,1.102,1.015735903,1.117,1.172,1.129,1.108,1.011989249,103.2,1.005260082
Los Angeles Clippers,1.087,1.118,1.102,1.071,0.984928569,1.061,1.158,1.037,1.088,0.961253888,101.6,0.989674654
Los Angeles Lakers,1.119,1.193,1.143,1.095,1.013923707,1.108,1.086,1.094,1.122,1.003835352,101.2,0.985778297
Memphis Grizzlies,1.148,1.185,1.146,1.15,1.04020055,1.074,1.105,1.042,1.109,0.97303174,107.5,1.047145919
Miami Heat,1.089,0.96,1.119,1.064,0.986740765,1.094,1.053,1.116,1.076,0.991151511,101,0.983830119
Milwaukee Bucks,1.113,1.134,1.133,1.093,1.008487118,1.097,1.169,1.073,1.12,0.993869477,102.6,0.999415546
Minnesota Timberwolves,1.107,1.133,1.117,1.098,1.00305053,1.075,1.107,1.074,1.075,0.973937728,100.8,0.98188194
New Orleans Pelicans,1.067,1.047,1.103,1.032,0.966806608,1.156,1.251,1.141,1.17,1.047322804,103.1,1.004285993
New York Knicks,1.17,1.18,1.175,1.165,1.060134707,1.11,1.207,1.103,1.118,1.005647329,100.7,0.980907851
Oklahoma City Thunder,1.143,1.249,1.174,1.11,1.03567006,1.018,1.05,1.019,1.016,0.922296379,102.8,1.001363725
Orlando Magic,1.041,1.03,1.054,1.029,0.943248059,1.058,1.121,1.031,1.083,0.958535922,100,0.974089227
Philadelphia 76ers,1.086,1.107,1.094,1.077,0.984022471,1.124,1.185,1.13,1.117,1.018331169,100.7,0.980907851
Phoenix Suns,1.119,1.125,1.124,1.114,1.013923707,1.135,1.176,1.115,1.157,1.028297043,101.2,0.985778297
Portland Trail Blazers,1.068,1.049,1.092,1.041,0.967712707,1.122,1.176,1.13,1.113,1.016519192,102.1,0.9945451
Sacramento Kings,1.12,1.083,1.13,1.109,1.014829805,1.112,1.083,1.107,1.117,1.007459306,104,1.013052796
San Antonio Spurs,1.109,1.189,1.126,1.092,1.004862726,1.122,1.163,1.132,1.111,1.016519192,102,0.993571011
Toronto Raptors,1.071,0.994,1.081,1.059,0.970431001,1.125,1.047,1.12,1.131,1.019237158,103.3,1.006234171
Utah Jazz,1.093,1.1,1.084,1.1,0.990365158,1.166,1.248,1.157,1.173,1.05638269,102.4,0.997467368
Washington Wizards,1.029,1.123,1.034,1.024,0.932374883,1.158,1.23,1.163,1.154,1.049134781,105.1,1.023767777
