Team,Off,oLastThree,oHome,oAway,adjO,Def,dLastThree,dHome,dAway,adjD,Tempo,adjT
Atlanta Hawks,1.117,0.953,1.116,1.117,1.001584123,1.106,1.275,1.097,1.116,0.989384542,105,1.017704833
Boston Celtics,1.159,0.99,1.153,1.166,1.039244403,1.085,1.119,1.082,1.088,0.97059876,98.5,0.954704058
Brooklyn Nets,1.051,0.996,1.071,1.03,0.942403682,1.15,1.262,1.137,1.162,1.028745229,100.8,0.97699664
Charlotte Hornets,1.146,1.06,1.144,1.148,1.02758765,1.103,1.111,1.106,1.099,0.986700859,101.1,0.979904368
Chicago Bulls,1.096,1.055,1.094,1.098,0.982753983,1.145,1.158,1.129,1.16,1.024272424,106.1,1.028366503
Cleveland Cavaliers,1.138,0.997,1.144,1.132,1.020414263,1.11,1.221,1.11,1.111,0.992962786,103.2,1.000258465
Dallas Mavericks,1.077,1.191,1.09,1.064,0.965717189,1.129,1.201,1.123,1.136,1.009959447,105.9,1.026428018
Denver Nuggets,1.177,1.067,1.176,1.178,1.055384523,1.133,1.121,1.121,1.145,1.013537691,102.9,0.997350737
Detroit Pistons,1.124,1.062,1.123,1.125,1.007860836,1.054,1.108,1.036,1.073,0.942867366,103.1,0.999289222
Golden State Warriors,1.113,1.131,1.145,1.082,0.99799743,1.119,1.182,1.132,1.107,1.001013836,102.9,0.997350737
Houston Rockets,1.134,1.021,1.134,1.134,1.01682757,1.087,1.003,1.065,1.109,0.972387882,100.6,0.975058155
Indiana Pacers,1.074,1.059,1.088,1.06,0.963027169,1.151,1.041,1.14,1.161,1.02963979,104.7,1.014797105
Los Angeles Clippers,1.134,1.118,1.149,1.119,1.01682757,1.124,1.182,1.115,1.133,1.005486641,100.4,0.973119669
Los Angeles Lakers,1.135,1.105,1.146,1.124,1.017724243,1.125,1.262,1.115,1.135,1.006381202,101.1,0.979904368
Memphis Grizzlies,1.091,0.969,1.104,1.078,0.978270616,1.148,1.253,1.143,1.153,1.026956107,105.1,1.018674076
Miami Heat,1.13,1.289,1.148,1.112,1.013240876,1.109,1.138,1.1,1.117,0.992068225,107,1.037089687
Milwaukee Bucks,1.095,1.14,1.129,1.062,0.981857309,1.157,1.236,1.169,1.145,1.035007156,101,0.978935125
Minnesota Timberwolves,1.118,1.012,1.098,1.137,1.002480796,1.097,1.183,1.065,1.128,0.981333492,104.5,1.01285862
New Orleans Pelicans,1.104,1.168,1.119,1.089,0.989927369,1.147,1.206,1.132,1.163,1.026061546,104.6,1.013827862
New York Knicks,1.164,1.174,1.18,1.15,1.04372777,1.082,0.977,1.072,1.091,0.967915076,100.4,0.973119669
Oklahoma City Thunder,1.151,1.061,1.152,1.15,1.032071017,1.048,1.133,1.038,1.059,0.9375,103,0.998319979
Orlando Magic,1.099,0.99,1.11,1.09,0.985444003,1.095,1.141,1.087,1.103,0.97954437,103.9,1.007043164
Philadelphia 76ers,1.106,1.069,1.102,1.111,0.991720716,1.118,1.241,1.123,1.112,1.000119275,103.3,1.001227707
Phoenix Suns,1.111,1.119,1.12,1.102,0.996204083,1.104,1.232,1.09,1.119,0.98759542,101,0.978935125
Portland Trail Blazers,1.096,0.987,1.12,1.073,0.982753983,1.105,1.16,1.095,1.114,0.988489981,104.5,1.01285862
Sacramento Kings,1.077,1.119,1.087,1.068,0.965717189,1.175,1.156,1.156,1.193,1.051109256,103,0.998319979
San Antonio Spurs,1.148,1.088,1.155,1.142,1.029380997,1.068,1.004,1.065,1.071,0.955391221,103.4,1.00219695
Toronto Raptors,1.116,1.066,1.12,1.113,1.00068745,1.092,1.114,1.073,1.111,0.976860687,102.4,0.992504523
Utah Jazz,1.103,1.113,1.133,1.073,0.989030696,1.183,1.105,1.182,1.183,1.058265744,106.6,1.033212716
Washington Wizards,1.073,1.079,1.077,1.069,0.962130496,1.187,1.228,1.18,1.194,1.061843989,105.2,1.019643319
