Team,R,RA,wR,wRA
Abilene Christian,6.70176,7.41628,1.055706774,1.12328914
Air Force,8.54166,7.22912,1.345540325,1.094941398
Akron,5.02128,10.19814,0.790986146,1.544636922
Alabama,8.0619,3.5575,1.269965269,0.538828242
Alabama A&M,3.94308,12.26856,0.621140755,1.858228143
Alabama State,5.16714,8.0507,0.813963004,1.21938005
Albany,4.042,8.54696,0.636723306,1.294544886
Alcorn State,3.3777,14.42528,0.532078256,2.184890587
Appalachian State,7.85023,5.72973,1.236621573,0.867839872
Arizona,5.6661,5.0964,0.892562574,0.771914056
Arizona State,9.36096,4.66602,1.474602028,0.706727577
Arkansas,8.75808,3.72632,1.379632274,0.56439816
Arkansas State,7.52334,3.72757,1.185127639,0.564587489
Arkansas-Pine Bluff,6.16193,7.94897,0.970669085,1.203971759
Army,5.0336,6.71988,0.792926876,1.017810577
Auburn,8.5743,2.8324,1.350681999,0.429002702
Austin Peay,6.22311,7.11459,0.980306574,1.077594385
Ball State,5.785,7.9268,0.91129251,1.200613833
Baylor,7.32034,4.81472,1.153149699,0.729250067
Bellarmine,5.56435,9.9225,0.876534222,1.502887767
Belmont,4.67995,7.68291,0.737217525,1.163673616
Bethune-Cookman,6.2356,6.71664,0.982274084,1.017319838
Binghamton,6.01197,7.00722,0.947046366,1.061331844
Boston College,7.46724,4.16832,1.176290385,0.631344635
Bowling Green,4.64922,6.64056,0.732376726,1.005796563
Bradley,4.44236,11.21848,0.699790734,1.699180283
Brown,4.87939,6.11874,0.768634669,0.926760342
Bryant,5.26812,6.46836,0.82987006,0.979714701
Bucknell,4.7828,7.23112,0.753419156,1.095244323
Butler,5.52233,8.63268,0.869914946,1.307528261
BYU,7.54621,5.40489,1.188730276,0.818638757
Cal Poly,6.83892,4.66336,1.07731315,0.706324686
Cal State Bakersfield,5.4653,7.9914,0.860931193,1.210398317
Cal State Fullerton,5.41891,4.1355,0.853623525,0.626373632
Cal State Northridge,5.76084,6.03046,0.907486662,0.913389223
California,6.14959,4.01804,0.968725204,0.608582833
California Baptist,6.3344,5.2773,0.997837731,0.799313642
Campbell,7.49892,4.95516,1.181280834,0.750521476
Canisius,4.24502,7.80715,0.668704396,1.182491331
Central Arkansas,5.4999,7.102,0.86638162,1.07568747
Central Connecticut,4.60265,9.92169,0.725040703,1.502765083
Central Michigan,5.65508,9.23352,0.890826628,1.398533057
Charleston,5.14047,5.68229,0.809761764,0.860654485
Charleston Southern,7.79016,7.24032,1.227158938,1.096637779
Charlotte,7.71282,4.97272,1.214975816,0.75318116
Cincinnati,8.62396,4.2218,1.35850478,0.639444855
Clemson,7.48125,3.8766,1.178497336,0.587159962
Coastal Carolina,8.2411,4.15635,1.298194071,0.629531627
Columbia,5.85,6.8018,0.921531751,1.030218394
Connecticut,6.61223,5.01433,1.0416034,0.759483519
Coppin State,4.43238,14.49539,0.698218616,2.195509631
Cornell,3.66168,8.69632,0.576812715,1.317167342
Creighton,6.49593,5.23102,1.023283034,0.792303953
Dallas Baptist,9.09549,5.26565,1.43278339,0.797549103
Dartmouth,3.26676,6.12256,0.514602233,0.92733893
Davidson,5.86034,9.9684,0.923160578,1.509839901
Dayton,6.7269,8.44784,1.059666998,1.279531912
Delaware,5.42184,7.55986,0.854085079,1.145036142
Delaware State,3.583,13.62368,0.564418507,2.063478158
Duke,7.91604,5.42864,1.246988411,0.822235994
East Carolina,8.29848,3.59174,1.307232959,0.544014322
East Tennessee State,7.53368,5.44122,1.186756466,0.824141394
Eastern Illinois,7.22325,6.69231,1.137855423,1.013634753
Eastern Kentucky,5.5032,8.43114,0.866901459,1.277002486
Eastern Michigan,5.3094,8.90885,0.836372766,1.349357691
Elon,4.9698,7.2058,0.782876666,1.091409289
Evansville,4.7991,6.8448,0.755986842,1.036731287
Fairfield,5.17836,5.742,0.815730455,0.869698318
Fairleigh Dickinson,6.81408,9.29632,1.073400184,1.408044909
FAU,6.22688,5.32828,0.98090045,0.807035206
FGCU,5.34996,5.31062,0.842762053,0.804360376
FIU,6.76845,7.22277,1.066212236,1.09397961
Florida,9.05168,3.61998,1.425882141,0.548291626
Florida A&M,5.8611,7.12205,0.923280299,1.078724296
Florida State,8.4791,3.10331,1.335685448,0.470035438
Fordham,5.84392,8.37408,0.920573988,1.26836003
Fresno State,5.35641,8.65018,0.843778101,1.310178857
Gardner-Webb,5.7629,8.16192,0.907811168,1.236225722
George Mason,5.97439,6.87258,0.941126509,1.040938918
George Washington,4.28324,7.87603,0.67472507,1.192924076
Georgetown,5.00624,8.41918,0.788616943,1.275190994
Georgia,11.21044,3.62796,1.765944685,0.549500298
Georgia Southern,6.76553,7.23396,1.065752258,1.095674477
Georgia State,6.55092,5.6966,1.031945433,0.862821915
Georgia Tech,13.01787,3.6935,2.05066334,0.559427157
Gonzaga,7.287,5.19156,1.147897756,0.786327238
Grambling State,5.5512,10.458,0.874462745,1.583995996
Grand Canyon,5.7513,6.3756,0.905983857,0.965665029
Harvard,4.82511,6.71092,0.760084114,1.016453472
Hawaii,4.54432,3.78084,0.715852166,0.572655902
High Point,7.18173,4.47772,1.13131491,0.678207167
Hofstra,6.8277,5.9301,1.075545699,0.898188435
Holy Cross,5.00383,8.23398,0.788237303,1.247140118
Houston,6.3536,4.82236,1.000862245,0.730407242
Houston Christian,6.07824,6.2933,0.957485667,0.953199656
Illinois,7.3298,4.8662,1.154639903,0.737047362
Illinois State,4.97835,6.88589,0.78422352,1.042954885
Incarnate Word,6.44504,8.07864,1.015266496,1.223611916
Indiana,7.39814,5.55296,1.165405284,0.841065826
