Team,SOS,oRating,dRating,Yds/Play,Last 3,wYds/Play,D Yds/Play,Last 3,wD Yds/Play,Yds/Point,Last 3,wYds/Point,D Yds/Point,Last 3,wD Yds/Point,PlaysGame,dPlaysGame,HomeAdv
Air Force,0.0,1.183,0.777,5.9,5.6,5.757,5.0,4.7,4.882,12.9,12.2,12.673,12.3,11.9,12.123,71.2,52.8,2.7
Akron,1.3,0.903,0.954,5.1,5.1,5.123,6.1,6.1,6.117,15.1,15.1,15.142,12.4,12.4,12.441,67.0,60.3,1.1
Alabama,1.0,1.678,0.776,6.7,6.7,6.683,4.9,4.9,4.859,9.8,9.8,9.814,13.0,13.0,13.034,70.0,56.3,3.4
App State,0.8,1.18,0.664,6.7,6.7,6.737,4.7,4.7,4.692,13.7,13.7,13.723,18.8,18.8,18.767,73.3,64.0,1.9
Arizona,1.1,1.171,0.617,6.5,6.5,6.462,5.1,5.1,5.106,13.6,13.6,13.612,17.2,17.2,17.185,66.0,58.3,2.3
Arizona St,1.3,1.61,0.774,6.3,6.3,6.301,4.6,4.6,4.56,11.1,11.1,11.055,11.6,11.6,11.591,66.7,61.0,2.8
Arkansas,1.9,1.017,0.843,4.6,4.6,4.597,6.0,6.0,5.99,17.6,17.6,17.597,9.9,9.9,9.925,74.0,56.3,1.7
Arkansas St,1.2,1.224,0.868,6.3,6.3,6.35,6.5,6.5,6.475,13.0,13.0,13.005,15.3,15.3,15.297,56.7,63.0,2.4
Army,1.2,1.399,0.542,6.6,6.6,6.623,6.2,6.2,6.223,12.4,12.4,12.419,20.7,20.7,20.743,65.0,53.3,2.1
Auburn,1.4,1.343,0.702,6.0,6.0,6.011,4.9,4.9,4.909,13.7,13.7,13.721,16.8,16.8,16.821,75.3,77.7,2.6
Ball St,1.4,0.942,1.26,4.8,4.8,4.833,7.2,7.2,7.221,15.1,15.1,15.072,11.6,11.6,11.647,61.3,66.7,2.3
Baylor,1.3,1.203,0.415,5.7,5.7,5.708,4.0,4.0,3.958,14.9,14.9,14.923,20.9,20.9,20.908,83.7,68.7,2.6
Boise St,1.5,1.337,0.754,6.2,6.2,6.223,7.8,7.8,7.817,13.2,13.2,13.231,16.5,16.5,16.535,73.0,55.0,2.9
Boston College,1.4,0.851,0.716,6.0,6.0,5.963,5.1,5.1,5.098,17.8,17.8,17.797,14.0,14.0,14.003,64.7,65.0,2.2
Bowling Green,1.5,0.465,1.281,4.2,4.2,4.187,8.1,8.1,8.112,25.9,25.9,25.896,11.6,11.6,11.579,55.7,62.3,1.3
Buffalo,1.1,0.896,1.224,3.9,3.9,3.888,6.5,6.5,6.497,15.0,15.0,15.046,13.3,13.3,13.303,69.7,71.7,3.1
BYU,1.3,1.795,0.502,7.9,7.9,7.939,4.4,4.4,4.402,10.9,10.9,10.946,17.1,17.1,17.14,60.7,61.0,2.3
C Michigan,1.0,0.666,0.72,4.4,4.4,4.369,4.9,4.9,4.868,17.6,17.6,17.574,15.9,15.9,15.947,59.0,63.3,2.1
California,1.2,1.075,0.796,5.4,5.7,5.517,5.5,4.5,5.187,14.4,15.0,14.588,15.8,13.0,14.844,68.8,67.2,2.8
Charlotte,1.4,1.003,1.139,5.6,5.6,5.555,6.4,6.4,6.438,15.3,15.3,15.257,11.5,11.5,11.53,65.0,65.7,1.4
Cincinnati,0.9,1.559,0.702,6.7,6.7,6.684,5.6,5.6,5.622,11.1,11.1,11.071,18.7,18.7,18.671,72.3,62.0,1.6
Clemson,1.0,0.918,0.798,4.7,5.3,4.944,5.0,4.4,4.782,14.6,16.3,15.184,16.2,14.2,15.541,64.5,71.5,2.4
Coastal Car,1.2,1.08,0.771,6.0,5.8,5.937,5.9,6.0,5.906,15.6,15.1,15.437,15.9,16.2,16.021,65.0,63.8,2.1
Colorado,1.1,1.013,0.874,5.9,5.9,5.857,5.2,5.2,5.24,16.9,16.9,16.928,14.5,14.5,14.533,70.3,69.3,2.9
Colorado St,1.1,1.638,0.917,6.8,6.8,6.794,7.2,7.2,7.232,11.8,11.8,11.773,16.2,16.2,16.225,67.0,58.3,2.3
Delaware,1.1,1.197,0.664,6.2,6.2,6.245,4.9,4.9,4.903,14.2,14.2,14.154,17.5,17.5,17.512,68.0,66.7,2.5
Duke,0.9,1.018,0.478,6.1,6.1,6.055,4.8,4.8,4.77,15.0,15.0,14.955,23.5,23.5,23.465,68.3,60.7,3.2
E Carolina,1.3,0.751,0.975,4.6,4.6,4.601,5.3,5.3,5.265,15.4,15.4,15.42,12.4,12.4,12.417,60.3,72.3,2.1
E Michigan,1.1,0.712,1.166,4.3,4.0,4.166,6.1,6.7,6.312,16.0,15.0,15.654,12.6,13.8,13.004,62.0,68.5,1.9
