Team,Spread
St. John's,-3.5
Villanova,+3.5
East Tennessee St.,-11.5
Western Carolina,+11.5
Colgate,-3.5
Holy Cross,+3.5
Canisius,+8.5
Niagara,-8.5
Iowa,+6.5
Rutgers,-6.5
Purdue Fort Wayne,-1.5
Youngstown St.,+1.5
Oakland,-5.5
IUPUI,+5.5
Radford,+3.5
Winthrop,-3.5
St. Bonaventure,+2.5
Rhode Island,-2.5
Tulsa,+7.5
Temple,-7.5
Davidson,+1.5
Massachusetts,-1.5
La Salle,+14.5
Saint Joseph's,-14.5
Oklahoma St.,+5.5
TCU,-5.5
Mississippi,-4.5
South Carolina,+4.5
Dayton,-7.5
Fordham,+7.5
VMI,+10.5
UNC Greensboro,-10.5
Robert Morris,+3.5
Cleveland St.,-3.5
Wofford,-12.5
The Citadel,+12.5
Stanford,+1.5
Georgia Tech,-1.5
Louisville,-6.5
N.C. State,+6.5
VCU,-9.5
George Washington,+9.5
Florida St.,+6.5
Wake Forest,-6.5
Mercer,+6.5
Furman,-6.5
Southern Illinois,+8.5
Bradley,-8.5
UNC Asheville,-9.5
USC Upstate,+9.5
Army,+1.5
Loyola MD,-1.5
Lehigh,+1.5
Navy,-1.5
Longwood,N/A
High Point,N/A
Boston University,+5.5
Bucknell,-5.5
UTSA,+6.5
Wichita St.,-6.5
Chattanooga,+5.5
Samford,-5.5
Presbyterian,+1.5
Charleston Southern,-1.5
Evansville,+3.5
Missouri St.,-3.5
Belmont,-3.5
Valparaiso,+3.5
Xavier,-1.5
Providence,+1.5
Southern Miss,+14.5
Arkansas St.,-14.5
Troy,-9.5
Louisiana,+9.5
Washington,+10.5
Ohio St.,-10.5
Drake,-2.5
Illinois St.,+2.5
LSU,+9.5
Arkansas,-9.5
Oklahoma,+8.5
Missouri,-8.5
Arizona St.,+15.5
Texas Tech,-15.5
Notre Dame,-4.5
Boston College,+4.5
California,+23.5
Duke,-23.5
Wyoming,+17.5
New Mexico,-17.5
