Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Abilene Christian,99.4,104.9,68.5,0.927110505,0.978391827,1.020952163,2.1
Air Force,99.7,112.2,63.9,0.929908625,1.046478198,0.952391871,3.07
Akron,113.4,105.6,71.7,1.05768945,0.984920657,1.068646278,3.62
Alabama,127,98,74,1.184537567,0.914036216,1.102926424,4.86
Alabama A&M,95.1,117.4,71.2,0.887004115,1.094978079,1.061194073,2.1
Alabama St.,103.4,115.2,67.8,0.964418775,1.074458899,1.010519075,2.56
Albany,102.8,111.7,67.4,0.958822535,1.041814748,1.00455731,3.3
Alcorn St.,97.5,110.4,65,0.909389077,1.029689778,0.968786724,3.28
American,104.1,111.4,63.3,0.970947722,1.039016678,0.943449225,3.73
Appalachian St.,103.6,100.9,63.8,0.966284189,0.941084227,0.95090143,3.77
Arizona,120.1,94.5,70.3,1.120180802,0.881392065,1.047780103,3.51
Arizona St.,111,98.2,67.9,1.035304488,0.915901596,1.012009516,4.01
Arkansas,113,96.2,68.8,1.053958623,0.897247796,1.025423486,6.63
Arkansas Pine Bluff,97.2,124.2,72.2,0.906590957,1.158401,1.076098484,2.52
Arkansas St.,110.4,101.8,69.3,1.029708247,0.949478437,1.032875691,4.74
Army,103.7,114.3,67.4,0.967216895,1.066064689,1.00455731,1.86
Auburn,130.7,94.7,68,1.219047717,0.883257446,1.013499957,3.32
Austin Peay,99.3,109,66,0.926177799,1.016632118,0.983691135,2.94
Ball St.,106.1,115.1,66.2,0.989601857,1.073526209,0.986672017,2.9
Baylor,123.1,101.4,64.7,1.148162004,0.945747677,0.9643154,3.83
Bellarmine,103.3,123.1,65.7,0.963486068,1.14814141,0.979219811,2.1
Belmont,115.4,112.1,70.6,1.076343585,1.045545508,1.052251426,3.89
Bethune Cookman,98.4,106.6,68.5,0.917783438,0.994247557,1.020952163,2.32
Binghamton,100.8,113.3,65,0.9401684,1.056737789,0.968786724,2.7
Boise St.,116.7,100.6,66.1,1.088468772,0.938286156,0.985181576,3.59
Boston College,106.9,110.3,66.1,0.997063511,1.028757088,0.985181576,3.96
Boston University,99.4,111,62.2,0.927110505,1.035285918,0.927054372,3.46
Bowling Green,101.2,113.4,69.2,0.943899227,1.057670479,1.03138525,3.62
Bradley,111.3,104.4,66.1,1.038102608,0.973728377,0.985181576,5.02
Brown,105.4,110.4,65.1,0.98307291,1.029689778,0.970277165,2.07
Bryant,108.6,107.7,72.3,1.012919526,1.004507148,1.077588925,1.21
Bucknell,101,108.1,67.4,0.942033813,1.008237908,1.00455731,3.3
Buffalo,97,113.8,71.3,0.904725543,1.061401239,1.062684514,4.75
Butler,116.2,105.1,66.9,1.083805239,0.980257207,0.997105105,4.09
BYU,120.3,102,66.7,1.122046215,0.951343817,0.994124223,2.1
Cal Baptist,108.8,107.6,65.6,1.014784939,1.003574458,0.97772937,2.1
Cal Poly,106.9,112.6,73,0.997063511,1.050208958,1.088022013,2.1
Cal St. Bakersfield,106.3,113.7,65.6,0.991467271,1.060468549,0.97772937,2.1
Cal St. Fullerton,97.3,112.1,67.1,0.907523664,1.045545508,1.000085987,2.1
California,112,108.7,67.1,1.044631555,1.013834048,1.000085987,2.49
Campbell,103.4,103.8,66,0.964418775,0.968132237,0.983691135,3.49
Canisius,100.3,121.9,65.2,0.935504866,1.13694913,0.971767606,3.04
Central Arkansas,96.6,115.5,66.2,0.900994716,1.077256969,0.986672017,3.61
Central Connecticut,101.6,102.8,65.2,0.947630054,0.958805337,0.971767606,2.1
Central Michigan,105.6,108.7,66.9,0.984938323,1.013834048,0.997105105,3.4
Charleston,107.5,106.7,70.6,1.002659752,0.995180247,1.052251426,2.52
Charleston Southern,101.3,110.9,67.5,0.944831933,1.034353228,1.006047751,5.14
Charlotte,105.2,112.4,64.7,0.981207497,1.048343578,0.9643154,3.9
Chattanooga,113.4,109.5,67.2,1.05768945,1.021295568,1.001576428,3.99
Chicago St.,91.5,112.6,68.6,0.853426672,1.050208958,1.022442604,2.1
Cincinnati,110.7,95.8,65.1,1.032506368,0.893517036,0.970277165,3.67
Clemson,119.5,97.7,63.6,1.114584561,0.911238146,0.947920548,5.19
Cleveland St.,105.6,103.9,65.8,0.984938323,0.969064927,0.980710253,3.78
Coastal Carolina,99.9,115.2,62.7,0.931774039,1.074458899,0.934506578,2.78
Colgate,105.1,113,66.5,0.98027479,1.053939719,0.99114334,3.27
Colorado,108.1,102.4,67,1.008255992,0.955074577,0.998595546,5.23
Colorado St.,113.2,102.6,65.8,1.055824036,0.956939957,0.980710253,5.19
Columbia,109.8,114.5,70.1,1.024112007,1.067930069,1.04479922,1.61
Connecticut,122.2,103.2,64,1.139767643,0.962536097,0.953882312,3.86
Coppin St.,87.7,113,67.7,0.817983816,1.053939719,1.009028634,1.86
Cornell,115,112.2,70.1,1.072612758,1.046478198,1.04479922,2.64
Creighton,116.3,96.3,67.9,1.084737945,0.898180486,1.012009516,3.97
CSUN,107.4,103.8,72.4,1.001727045,0.968132237,1.079079366,2.1
Dartmouth,101.5,109.1,70.7,0.946697347,1.017564808,1.053741867,2.36
Davidson,113,109.2,65.3,1.053958623,1.018497498,0.973258047,2.96
Dayton,115.9,105.3,65.3,1.081007118,0.982122587,0.973258047,4.72
Delaware,107.6,114.8,70.2,1.003592458,1.070728139,1.046289661,3.9
Delaware St.,100.4,112.3,69.6,0.936437573,1.047410888,1.037347015,2.1
Denver,99.2,115.5,66.1,0.925245092,1.077256969,0.985181576,7.03
DePaul,108.2,104.7,67.2,1.009188699,0.976526447,1.001576428,2.32
Detroit Mercy,95.4,110.9,65.9,0.889802235,1.034353228,0.982200694,2.1
Drake,112.9,100,58.8,1.053025916,0.932690016,0.876379375,4.45
Drexel,103.5,105.7,63.1,0.965351482,0.985853347,0.940468342,3.1
Duke,125.6,90,65.1,1.171479673,0.839421015,0.970277165,3.7
Duquesne,105.2,104,64.4,0.981207497,0.969997617,0.959844077,2.36
East Carolina,107.5,107.3,66.1,1.002659752,1.000776388,0.985181576,3.3
