Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Abilene Christian,101.2,107.8,67.8,0.925671006,0.986130064,1.006615818,2.1
Air Force,95.9,115.6,66.3,0.877192189,1.057482703,0.984345556,3.07
Akron,118.9,106.9,70.2,1.087571963,0.977897067,1.042248236,3.62
Alabama,129.6,102.4,72.9,1.185444293,0.936732083,1.082334707,4.86
Alabama A&M,104.1,116.7,65.4,0.952197152,1.067545255,0.970983399,2.1
Alabama St.,99.4,113.7,69.5,0.909206502,1.040101932,1.031855447,2.56
Albany,103.3,118.3,65.2,0.944879595,1.082181694,0.968014031,3.3
Alcorn St.,96.5,116.6,67.3,0.882680357,1.066630478,0.999192397,3.28
American,105.6,112.1,66.7,0.965917572,1.025465494,0.990284293,3.73
Appalachian St.,106,108.3,63,0.969576351,0.990703951,0.935350981,3.77
Arizona,128.7,89.7,69.8,1.177212041,0.82055535,1.0363095,3.51
Arizona St.,116,103.5,69.2,1.061045818,0.946794635,1.027401395,4.01
Arkansas,127.9,102.4,71.5,1.169894483,0.936732083,1.061549129,6.63
Arkansas Pine Bluff,104.2,117.4,68.9,0.953111847,1.073948697,1.022947343,2.52
Arkansas St.,110.7,109.4,72,1.012567,1.000766503,1.06897255,4.74
Army,100.1,118.7,67.1,0.915609365,1.085840804,0.996223029,1.86
Auburn,125.5,106.4,67.3,1.147941811,0.97332318,0.999192397,3.32
Austin Peay,108.1,108.5,69.4,0.988784939,0.992533506,1.030370763,2.94
Ball St.,98.5,110.1,63.7,0.90097425,1.007169945,0.94574377,2.9
Baylor,122.9,106,67.7,1.12415975,0.969664071,1.005131133,3.83
Bellarmine,116.5,126.3,64.7,1.065619291,1.155363888,0.960590611,2.1
Belmont,120.6,108.6,68.9,1.103121772,0.993448284,1.022947343,3.89
Bethune Cookman,103.7,110.2,69.1,0.948538373,1.008084722,1.025916711,2.32
Binghamton,97.7,123.2,65.3,0.893656693,1.127005788,0.969498715,2.7
Boise St.,117.4,103.9,65.7,1.073851543,0.950453745,0.975437452,3.59
Boston College,103.6,102.9,66,0.947623679,0.94130597,0.979891504,3.96
Boston University,111.8,120,63.1,1.022628642,1.09773291,0.936835665,3.46
Bowling Green,107.3,105.9,68.4,0.981467381,0.968749293,1.015523922,3.62
