Team,Name,PassYdsAtt,PassAttGame,CompPct,TDRate,INTRate
Arizona Cardinals,Kyler Murray,7.118,31.824,0.688,0.039,0.0203
Atlanta Falcons,Kirk Cousins,7.744,32.357,0.669,0.04,0.0353
Baltimore Ravens,Lamar Jackson,8.802,27.882,0.667,0.086,0.0084
Buffalo Bills,Josh Allen,7.725,30.188,0.636,0.058,0.0124
Carolina Panthers,Bryce Young,6.258,27.429,0.609,0.039,0.0234
Chicago Bears,Caleb Williams,6.301,33.059,0.625,0.036,0.0107
Cincinnati Bengals,Joe Burrow,7.543,38.353,0.706,0.066,0.0138
Cleveland Browns,Jameis Winston,7.166,26.909,0.611,0.044,0.0405
Dallas Cowboys,Cooper Rush,5.987,25.667,0.607,0.039,0.0162
Denver Broncos,Bo Nix,6.658,33.353,0.663,0.051,0.0212
Detroit Lions,Jared Goff,8.588,31.706,0.724,0.069,0.0223
Green Bay Packers,Jordan Love,7.974,28.333,0.631,0.059,0.0259
Houston Texans,C.J. Stroud,7.006,31.294,0.632,0.038,0.0226
Indianapolis Colts,Anthony Richardson,6.871,24.0,0.477,0.03,0.0455
Jacksonville Jaguars,Trevor Lawrence,7.201,28.4,0.606,0.039,0.0246
Kansas City Chiefs,Patrick Mahomes,6.761,36.312,0.675,0.045,0.0189
Las Vegas Raiders,Gardner Minshew,6.578,30.6,0.663,0.029,0.0327
Los Angeles Chargers,Justin Herbert,7.679,29.647,0.659,0.046,0.006
Los Angeles Rams,Matthew Stafford,7.277,32.312,0.658,0.039,0.0155
Miami Dolphins,Tua Tagovailoa,7.185,36.273,0.729,0.048,0.0175
Minnesota Vikings,Sam Darnold,7.925,32.059,0.662,0.064,0.022
New England Patriots,Drake Maye,6.734,26.0,0.666,0.044,0.0296
New Orleans Saints,Derek Carr,7.688,27.9,0.677,0.054,0.0179
New York Giants,Daniel Jones,6.07,34.1,0.633,0.023,0.0205
New York Jets,Aaron Rodgers,6.673,34.353,0.63,0.048,0.0188
Philadelphia Eagles,Jalen Hurts,8.042,24.067,0.687,0.05,0.0139
Pittsburgh Steelers,Russell Wilson,7.387,30.545,0.637,0.048,0.0149
San Francisco 49ers,Brock Purdy,8.492,30.333,0.659,0.044,0.0264
Seattle Seahawks,Geno Smith,7.474,34.0,0.704,0.036,0.026
Tampa Bay Buccaneers,Baker Mayfield,7.895,33.529,0.714,0.072,0.0281
Tennessee Titans,Will Levis,6.947,25.083,0.631,0.043,0.0399
Washington Commanders,Jayden Daniels,7.433,28.235,0.69,0.052,0.0187
