Team,Name,RushYdsCarry,RushAttGame
Arizona Cardinals,James Conner,4.636,14.75
Arizona Cardinals,Trey Benson,4.619,5.25
Arizona Cardinals,Michael Carter,3.743,11.67
Atlanta Falcons,Bijan Robinson,4.789,17.88
Atlanta Falcons,Tyler Allgeier,4.701,8.06
Baltimore Ravens,Derrick Henry,5.911,19.12
Baltimore Ravens,Justice Hill,4.851,3.13
Baltimore Ravens,Keaton Mitchell,2.0,7.5
Buffalo Bills,James Cook,4.874,12.94
Buffalo Bills,Ray Davis,3.912,7.06
Buffalo Bills,Ty Johnson,5.195,2.41
Carolina Panthers,Chuba Hubbard,4.78,16.67
Carolina Panthers,Miles Sanders,3.727,5.0
Carolina Panthers,Raheem Blackshear,5.333,5.0
Chicago Bears,D'Andre Swift,3.791,14.88
Chicago Bears,Roschon Johnson,2.727,4.58
Cincinnati Bengals,Chase Brown,4.323,14.31
Cincinnati Bengals,Zack Moss,3.27,9.25
Cincinnati Bengals,Khalil Herbert,3.611,4.5
Cleveland Browns,Jerome Ford,5.433,7.43
Cleveland Browns,Nick Chubb,3.255,12.75
Cleveland Browns,D'Onta Foreman,3.268,7.1
Dallas Cowboys,Rico Dowdle,4.591,14.69
Dallas Cowboys,Ezekiel Elliott,3.054,4.93
Dallas Cowboys,Deuce Vaughn,4.118,3.4
Denver Broncos,Javonte Williams,3.691,8.18
Denver Broncos,Jaleel McLaughlin,4.389,7.06
Denver Broncos,Audric Estime,4.079,5.85
Detroit Lions,Jahmyr Gibbs,5.648,14.71
Detroit Lions,David Montgomery,4.189,13.21
Detroit Lions,Craig Reynolds,4.484,4.43
Green Bay Packers,Josh Jacobs,4.415,17.71
Green Bay Packers,Emanuel Wilson,4.874,6.06
Green Bay Packers,Christopher Brooks,5.083,3.27
Houston Texans,Joe Mixon,4.147,17.5
Houston Texans,Dameon Pierce,7.325,4.44
Houston Texans,Dare Ogunbowale,3.733,2.0
Indianapolis Colts,Jonathan Taylor,4.723,21.64
Indianapolis Colts,Trey Sermon,2.839,4.0
Indianapolis Colts,Tyler Goodson,4.781,3.56
Jacksonville Jaguars,Tank Bigsby,4.56,11.2
Jacksonville Jaguars,Travis Etienne,3.72,10.0
Jacksonville Jaguars,D'Ernest Johnson,4.469,2.67
Kansas City Chiefs,Kareem Hunt,3.64,15.38
Kansas City Chiefs,Isiah Pacheco,3.735,11.86
Kansas City Chiefs,Carson Steele,3.268,4.67
Las Vegas Raiders,Alexander Mattison,3.182,9.43
Las Vegas Raiders,Ameer Abdullah,4.712,5.08
Las Vegas Raiders,Zamir White,2.815,8.12
Los Angeles Chargers,J.K. Dobbins,4.641,15.0
Los Angeles Chargers,Gus Edwards,3.614,9.18
Los Angeles Chargers,Kimani Vidal,3.605,4.78
Los Angeles Rams,Kyren Williams,4.111,19.75
Los Angeles Rams,Blake Corum,3.569,4.14
Los Angeles Rams,Ronnie Rivers,4.5,4.4
Miami Dolphins,Devon Achane,4.468,11.94
Miami Dolphins,Raheem Mostert,3.271,7.08
Miami Dolphins,Jaylen Wright,3.662,5.23
Minnesota Vikings,Aaron Jones,4.463,15.0
Minnesota Vikings,Cam Akers,4.269,6.93
Minnesota Vikings,Ty Chandler,3.25,5.6
New England Patriots,Rhamondre Stevenson,3.87,13.8
New England Patriots,Antonio Gibson,4.483,7.06
New England Patriots,Jamycal Hasty,3.45,2.22
New Orleans Saints,Alvin Kamara,4.167,16.29
New Orleans Saints,Jamaal Williams,3.417,3.69
New Orleans Saints,Taysom Hill,7.128,4.88
New York Giants,Tyrone Tracy,4.37,11.29
New York Giants,Devin Singletary,3.867,7.53
New York Jets,Breece Hall,4.191,13.06
New York Jets,Braelon Allen,3.63,5.41
New York Jets,Isaiah Davis,5.8,3.33
Philadelphia Eagles,Saquon Barkley,5.812,21.56
Philadelphia Eagles,Kenneth Gainwell,3.867,4.69
Philadelphia Eagles,Will Shipley,2.733,6.0
Pittsburgh Steelers,Najee Harris,3.966,15.47
Pittsburgh Steelers,Jaylen Warren,4.258,8.0
Pittsburgh Steelers,Cordarrelle Patterson,4.219,2.46
San Francisco 49ers,Jordan Mason,5.157,12.75
San Francisco 49ers,Isaac Guerendo,5.0,6.46
San Francisco 49ers,Christian McCaffrey,4.04,12.5
Seattle Seahawks,Kenneth Walker,3.745,13.91
Seattle Seahawks,Zach Charbonnet,4.215,7.94
Seattle Seahawks,Kenny McIntosh,5.548,4.43
Tampa Bay Buccaneers,Bucky Irving,5.42,12.18
Tampa Bay Buccaneers,Rachaad White,4.257,9.6
Tampa Bay Buccaneers,Sean Tucker,6.16,4.55
Tennessee Titans,Tony Pollard,4.15,16.25
Tennessee Titans,Tyjae Spears,3.714,7.0
Tennessee Titans,Julius Chestnut,4.636,3.14
Washington Commanders,Brian Robinson,4.273,13.36
Washington Commanders,Austin Ekeler,4.766,6.42
Washington Commanders,Jeremy McNichols,4.745,3.93
