Team,RushYdsAtt,dRushYdsAtt,PassYdsAtt,dPassYdsAtt,oRushPerGame,dRushPerGame,oPassPerGame,dPassPerGame,oYdsPerPoint,dYardsPerPoint,oPtsPerPlay,dPtsPerPlay,oPlays/Game,dPlaysGame,HomeAdv
Arizona Cardinals,5.3,4.6,7.1,6.8,27.2,27.4,31.9,31.7,15.2,15.4,0.386,0.363,60.9,61.5,2.77
Atlanta Falcons,4.5,4.5,7.7,6.6,29.1,26.9,32.9,34,16.2,13.9,0.358,0.396,63.9,62.8,2.5
Baltimore Ravens,5.8,3.6,8.8,6.7,33.4,22.6,27.5,35.6,14.2,15.1,0.482,0.345,62.3,61.4,3.6
Buffalo Bills,4.5,4.6,7.6,6.8,30.1,25.4,29.9,32.9,11.7,16.1,0.504,0.348,60.8,60.6,3.16
Carolina Panthers,4.6,5.2,6.2,7.2,24.1,34.8,32.2,31.2,14.9,12.9,0.343,0.463,58.4,67.9,1.62
Chicago Bears,4,4.8,6.3,7.4,25.4,28.5,33.3,29.6,15.5,16.3,0.291,0.36,62.6,60.5,2.87
Cincinnati Bengals,4.1,4.4,7.5,6.6,22.4,28.2,38.4,33.7,13.2,13.6,0.437,0.399,63.5,64,2.08
Cleveland Browns,4.1,4.5,5.9,7.1,23,28.7,38.9,30.1,19.8,13.4,0.231,0.418,65.8,61.2,1.94
Dallas Cowboys,4,4.8,6.4,7.2,25.2,28.4,37.5,30.1,15.9,12.9,0.317,0.447,64.9,61.5,2.37
Denver Broncos,4.2,4,6.7,6.3,26.6,26,32.9,35.1,13.3,17.1,0.394,0.294,60.9,64.7,3.08
Detroit Lions,4.8,4.5,8.5,6.9,30.9,22.8,33,35.6,12.6,16.3,0.502,0.355,65.9,60.5,2.89
Green Bay Packers,4.7,4,8.1,6.4,30.6,25.6,28.4,32.6,14,15.7,0.432,0.329,60.4,60.7,3.54
Houston Texans,4.5,4.2,7.2,6.2,26.2,25.6,33.2,32.2,15,14.4,0.35,0.353,62.8,60.7,2.8
Indianapolis Colts,4.7,4.2,7,7.2,29.2,31.2,30.2,32.1,15.1,14.4,0.362,0.384,61.2,65.4,2.33
Jacksonville Jaguars,4.2,4.4,6.8,7.5,24.4,30.1,32.1,34.1,16.3,15.2,0.323,0.387,58.4,66.2,2.95
Kansas City Chiefs,3.9,4.2,6.8,6.6,26.2,24.8,34.7,33.2,14.2,17.2,0.358,0.312,63.4,60.6,3.01
Las Vegas Raiders,3.6,4.4,6.5,6.6,22.4,26.7,37.4,33,16.7,13,0.29,0.412,62.6,61.9,1.84
Los Angeles Chargers,4,4.7,7.6,6.3,26.7,25.6,30.1,33.2,13.9,17.8,0.387,0.301,59.5,61.5,2.55
Los Angeles Rams,4,4.9,7.3,6.7,25.9,28.1,33.2,31.7,15.2,15.6,0.358,0.356,61.1,62.6,2.47
Miami Dolphins,4,4.4,6.8,6.3,26.4,23.8,34.8,33.6,16,14.7,0.319,0.36,63.6,59.5,2.38
Minnesota Vikings,4.1,4.1,7.9,6.5,26.6,23,32.7,36.9,14,16.7,0.392,0.318,62.5,62.7,3.34
New England Patriots,4.4,4.4,6.3,6.7,26.2,29.8,31.1,31.4,17.2,14,0.281,0.39,60.4,62.8,2.05
New Orleans Saints,4.4,4.9,6.8,6.9,26.1,28.8,32.4,34.8,16.1,16.2,0.328,0.356,60.7,65.8,1.42
New York Giants,4.2,4.6,6,7.1,24.9,29.6,34.8,29.6,18.4,14.2,0.257,0.395,62.5,61.8,1.41
New York Jets,4.3,4.1,6.6,6.3,21.4,29.6,35.7,30.6,15.6,13.2,0.335,0.378,59.4,62.8,2.27
Philadelphia Eagles,5.1,4.3,7.7,5.6,36.3,24.3,25.7,32.6,13.4,16.2,0.416,0.297,64.8,59.4,1.76
Pittsburgh Steelers,4,4.3,7.3,6.7,30.2,25.7,29.4,33.5,14.5,16,0.35,0.339,62.6,61.4,2.97
San Francisco 49ers,4.7,4.4,8.3,6.4,26.9,28,31.4,30.4,16.4,12.4,0.379,0.424,60.4,60.5,3.07
Seattle Seahawks,4.2,4.6,7.4,6.3,22.5,26.5,34.9,33.5,15.1,15.4,0.364,0.346,60.6,62.6,2.95
Tampa Bay Buccaneers,5.2,4.1,8,6.6,28.2,23.4,32.7,36.9,13.6,15.1,0.459,0.36,63.2,63,2.06
Tennessee Titans,4.1,4.5,6.8,6.4,26.5,29.6,31.2,27.8,16.6,11.5,0.301,0.456,60.7,59.3,2.03
Washington Commanders,4.8,4.9,7.6,6.7,31.6,28.3,31.1,29.3,12.9,14.4,0.445,0.387,65.4,60.1,1.55
