Player,GAA,Sv%
Adin Hill,2.68,0.905
Akira Schmid,3.04,0.898
Aleksei Kolosov,3.45,0.87
Alex Lyon,2.92,0.905
Alex Nedeljkovic,3.04,0.899
Alexandar Georgiev,3.21,0.891
Andrei Vasilevskiy,2.64,0.907
Anthony Stolarz,2.08,0.926
Anton Forsberg,3.07,0.891
Antti Raanta,2.99,0.872
Arturs Silovs,3.45,0.858
Arvid Soderblom,3.48,0.892
Cal Petersen,3.9,0.864
Calvin Pickard,2.46,0.905
Cam Talbot,2.62,0.911
Carter Hart,2.8,0.906
Casey DeSmith,2.73,0.902
Cayden Primeau,3.47,0.891
Charlie Lindgren,2.65,0.909
Chris Driedger,2.51,0.917
Connor Hellebuyck,2.23,0.923
Connor Ingram,3.02,0.901
Dan Vladar,3.35,0.884
Daniil Tarasov,3.42,0.896
Darcy Kuemper,2.78,0.903
David Rittich,2.38,0.907
Dennis Hildeby,3.33,0.878
Devin Cooley,4.98,0.87
Devon Levi,3.38,0.892
Dustin Tokarski,2.18,0.902
Dustin Wolf,2.74,0.908
Elvis Merzlikins,3.19,0.897
Eric Comrie,3.17,0.892
Erik Portillo,1.02,0.966
Filip Gustavsson,2.84,0.906
Frederik Andersen,1.84,0.929
Hunter Shepard,3.19,0.894
Igor Shesterkin,2.68,0.911
Ilya Samsonov,3,0.893
Ilya Sorokin,2.87,0.908
Ivan Fedotov,3.42,0.873
Ivan Prosvetov,3.16,0.895
Jacob Markstrom,2.53,0.908
Jake Allen,3.14,0.899
Jake Oettinger,2.55,0.908
Jakub Dobes,2.1,0.927
James Reimer,3.09,0.901
Jaxson Stauber,2.23,0.925
Jeremy Swayman,2.76,0.907
Jesper Wallstedt,3.44,0.877
Jet Greaves,3.3,0.907
Jiri Patera,3.98,0.893
Joel Blomqvist,3.59,0.899
Joel Hofer,2.69,0.911
Joey Daccord,2.45,0.916
John Gibson,3.29,0.896
Jonas Johansson,3.33,0.89
Jonathan Quick,2.79,0.906
Joonas Korpisalo,3.17,0.891
Jordan Binnington,2.86,0.907
Joseph Woll,2.78,0.907
Justus Annunen,2.64,0.91
Juuse Saros,2.86,0.904
Kaapo Kahkonen,3.65,0.896
Karel Vejmelka,2.94,0.903
Kevin Lankinen,2.66,0.907
Laurent Brossoit,2,0.927
Leevi Meriläinen,2.19,0.921
Linus Ullmark,2.51,0.915
Logan Thompson,2.45,0.915
Louis Domingue,1.5,0.943
Lukas Dostal,3.17,0.904
Mackenzie Blackwood,3.09,0.905
Mads Sogaard,4.34,0.846
Magnus Hellberg,2.5,0.922
Marc-Andre Fleury,2.86,0.899
Marcus Hogberg,1.45,0.947
Martin Jones,2.87,0.902
Matt Murray,0,1
Matt Murray,3.54,0.879
Matt Tomkins,3.33,0.892
Nico Daws,3.15,0.894
Petr Mrazek,3.12,0.904
Pheonix Copley,3.23,0.868
Philipp Grubauer,3.21,0.887
Pyotr Kochetkov,2.39,0.907
Sam Montembeault,3.07,0.901
Samuel Ersson,2.84,0.89
Scott Wedgewood,2.85,0.899
Semyon Varlamov,2.68,0.911
Sergei Bobrovsky,2.5,0.91
Spencer Knight,2.47,0.905
Spencer Martin,3.47,0.879
Stuart Skinner,2.64,0.905
Thatcher Demko,2.61,0.91
Tristan Jarry,3.04,0.898
Ukko-Pekka Luukkonen,2.73,0.905
Ville Husso,3.6,0.885
Vitek Vanecek,3.37,0.888
Yaroslav Askarov,2.93,0.901
