Player,GAA,Sv%
Adin Hill,2.66,0.895
Akira Schmid,2.45,0.898
Aleksei Kolosov,3.64,0.863
Alex Lyon,2.79,0.903
Alex Nedeljkovic,2.99,0.895
Alexandar Georgiev,3.71,0.875
Andrei Vasilevskiy,2.24,0.917
Anthony Stolarz,2.61,0.912
Anton Forsberg,2.64,0.906
Arturs Silovs,3.18,0.883
Arvid Soderblom,3.43,0.89
Brandon Bussi,2.47,0.895
Brandon Halverson,4.7,0.8
Calvin Pickard,3.02,0.89
Cam Talbot,3.03,0.894
Carl Lindbom,3,0.873
Carter Hart,2.71,0.891
Casey DeSmith,2.5,0.911
Cayden Primeau,4.59,0.836
Charlie Lindgren,3.01,0.89
Clay Stevenson,2.6,0.906
Colten Ellis,2.9,0.903
Connor Hellebuyck,2.41,0.911
Connor Ingram,2.87,0.892
Dan Vladar,2.56,0.903
Daniil Tarasov,3.23,0.89
Darcy Kuemper,2.4,0.907
David Rittich,2.8,0.891
Dennis Hildeby,2.98,0.906
Devin Cooley,2.69,0.909
Devon Levi,4.12,0.872
Drew Commesso,2.61,0.901
Dustin Tokarski,2.18,0.902
Dustin Wolf,2.82,0.904
Dylan Garand,1.62,0.948
Elvis Merzlikins,3.25,0.889
Eric Comrie,2.79,0.901
Filip Gustavsson,2.62,0.909
Frederik Andersen,2.84,0.884
Georgi Romanov,3.89,0.877
Igor Shesterkin,2.69,0.908
Ilya Samsonov,2.82,0.891
Ilya Sorokin,2.69,0.907
Ivan Fedotov,3.15,0.88
Jacob Fowler,2.43,0.908
Jacob Markstrom,2.76,0.892
Jake Allen,2.71,0.906
Jake Oettinger,2.59,0.904
Jakub Dobes,2.77,0.904
James Reimer,2.81,0.894
Jaxson Stauber,3.26,0.892
Jeremy Swayman,2.92,0.9
Jesper Wallstedt,2.7,0.912
Jet Greaves,2.48,0.913
Joel Blomqvist,3.81,0.885
Joel Hofer,2.62,0.907
Joey Daccord,2.88,0.902
John Gibson,2.73,0.905
Jonas Johansson,3.22,0.889
Jonathan Quick,3.13,0.892
Joonas Korpisalo,3.03,0.894
Jordan Binnington,2.95,0.889
Joseph Woll,3.02,0.904
Justus Annunen,2.95,0.894
Juuse Saros,3.07,0.895
Karel Vejmelka,2.67,0.9
Kevin Lankinen,3.12,0.889
Laurent Brossoit,#N/A,#N/A
Leevi Meriläinen,2.94,0.886
Linus Ullmark,2.72,0.9
Logan Thompson,2.46,0.911
Louis Domingue,2,0.926
Lukas Dostal,3.1,0.896
Mackenzie Blackwood,2.53,0.909
Mads Sogaard,4.97,0.816
Marc-Andre Fleury,2.93,0.899
Marcus Hogberg,3.48,0.874
Matt Murray,2.68,0.906
Nico Daws,2.02,0.925
Nikita Tolopilo,3.51,0.882
Petr Mrazek,3.49,0.885
Pheonix Copley,#N/A,#N/A
Philipp Grubauer,3.03,0.894
Pyotr Kochetkov,2.56,0.898
Samuel Ersson,3.13,0.878
Samuel Montembeault,2.99,0.894
Scott Wedgewood,2.13,0.917
Semyon Varlamov,2.89,0.889
Sergei Bobrovsky,2.74,0.892
Sergei Murashov,2.56,0.897
Spencer Knight,2.78,0.902
Spencer Martin,3.99,0.854
Stuart Skinner,2.86,0.892
Thatcher Demko,2.9,0.893
Trent Miner,2.19,0.92
Tristan Jarry,3.21,0.888
Ukko-Pekka Luukkonen,2.93,0.895
Ville Husso,3.33,0.886
Vitek Vanecek,3.3,0.884
Yaroslav Askarov,3.51,0.886
