Team,ShotsF,PP,ShotsA,S%
Anaheim Ducks,28.1,12.9,32.3,8.9
Boston Bruins,27.3,14.2,28.6,9.9
Buffalo Sabres,27.8,17,29.4,11.1
Calgary Flames,29.1,21,29.2,9.2
Carolina Hurricanes,31.8,20.5,24.9,10.5
Chicago Blackhawks,24.6,23.8,31.3,10.6
Colorado Avalanche,29.2,20.3,26.6,11.1
Columbus Blue Jackets,29.3,22.4,29,11.2
Dallas Stars,30,18.8,26.6,10.5
Detroit Red Wings,26.6,27.3,29.3,10.6
Edmonton Oilers,32.2,24.4,26.6,10.2
Florida Panthers,31.3,24.2,27.3,10.2
Los Angeles Kings,27.3,15.5,25.4,10.1
Minnesota Wild,27.8,19.9,29.4,10.6
Montreal Canadiens,26,20.1,29.5,11.3
Nashville Predators,30.2,21.7,29.1,8.8
New Jersey Devils,29.7,28.9,25.7,10.4
New York Islanders,28.6,11.7,28.2,9.5
New York Rangers,29.8,19.9,30.8,9.9
Ottawa Senators,29.2,22.7,27.6,9.5
Philadelphia Flyers,27.3,15.7,26.7,10.4
Pittsburgh Penguins,28.4,26,30.9,10.2
San Jose Sharks,26.8,17.5,32.4,9.8
Seattle Kraken,26.7,19.1,28.7,11.2
St. Louis Blues,26.9,18.8,28.4,10.2
Tampa Bay Lightning,29.2,26.9,28.3,11.9
Toronto Maple Leafs,28.7,21.4,28.8,10.6
Utah Hockey Club,27.4,22.5,28.4,10.3
Vancouver Canucks,25.3,22.8,27.3,11.2
Vegas Golden Knights,30.4,28.1,26.9,11
Washington Capitals,27.4,23.1,27.6,12.7
Winnipeg Jets,28.3,33.1,28,12.7
