Team,ShotsF,PP,ShotsA,S%
Anaheim Ducks,30.8,18.6,28.4,10.5
Boston Bruins,27,23.4,29.7,12.1
Buffalo Sabres,28.1,19.5,29.1,12.3
Calgary Flames,28.1,16.2,29.9,9
Carolina Hurricanes,32.2,24.9,23.9,11
Chicago Blackhawks,24.6,16.9,30,10.4
Colorado Avalanche,33.7,17.1,26.1,10.8
Columbus Blue Jackets,29.4,18.9,28.8,10.2
Dallas Stars,25.3,28.6,26.2,13.2
Detroit Red Wings,28.2,22.6,27.7,10.3
Edmonton Oilers,29.7,30.6,26.7,11.6
Florida Panthers,28,19.5,26.8,10.7
Los Angeles Kings,28,17,27.2,9.6
Minnesota Wild,29.2,25.2,29.4,11.2
Montréal Canadiens,26.3,23.1,27.8,12.9
Nashville Predators,27.9,23.1,29.6,10.6
New Jersey Devils,29.6,22,27.4,9.3
New York Islanders,28.2,16.5,27.7,9.9
New York Rangers,25.2,24.7,28.8,11.4
Ottawa Senators,28.9,24,24.4,11.6
Philadelphia Flyers,25.5,15.7,25.5,11.5
Pittsburgh Penguins,28.6,24.1,27.4,12.4
San Jose Sharks,25.8,21.2,29.6,11.8
Seattle Kraken,25.6,19.5,29.5,10.7
St. Louis Blues,25.3,17.6,27.7,11.1
Tampa Bay Lightning,28.1,20.7,26.7,12.4
Toronto Maple Leafs,26.3,21.3,32.4,11.7
Utah Mammoth,27.7,20,26.1,11.8
Vancouver Canucks,26,21.8,29.8,9.9
Vegas Golden Knights,29,24.6,24.4,11.1
Washington Capitals,28,17.8,28.1,11.3
Winnipeg Jets,26.4,18.5,27.8,10.6
