Team,GF,GA,wGF,wGA,wLeague,HomeAdv
Arsenal,2.041666667,0.916666667,1.345350364,0.605118393,93.4,0.1
Aston Villa,1.416666667,1.541666667,0.933508416,1.017699115,93.4,0.1
Bournemouth,1.708333333,1.166666667,1.125701325,0.770150682,93.4,0.1
Brentford,1.75,1.75,1.153157455,1.155226022,93.4,0.1
Brighton,1.458333333,1.583333333,0.960964546,1.045204497,93.4,0.1
Chelsea,1.958333333,1.291666667,1.290438104,0.852666826,93.4,0.1
Crystal Palace,1.166666667,1.25,0.768771637,0.825161445,93.4,0.1
Everton,1,1.217391304,0.658947117,0.803635494,93.4,0.1
Fulham,1.5,1.333333333,0.988420676,0.880172208,93.4,0.1
Ipswich Town,0.916666667,2.041666667,0.604034857,1.347763693,93.4,0.1
Leicester City,1.041666667,2.208333333,0.686403247,1.457785219,93.4,0.1
Liverpool,2.434782609,0.913043478,1.604392981,0.60272662,93.4,0.1
Manchester City,2,1.458333333,1.317894234,0.962688352,93.4,0.1
Manchester Utd,1.166666667,1.416666667,0.768771637,0.935182971,93.4,0.1
Newcastle Utd,1.75,1.208333333,1.153157455,0.797656063,93.4,0.1
Nottm Forest,1.666666667,1.125,1.098245195,0.7426453,93.4,0.1
Southampton,0.75,2.25,0.494210338,1.4852906,93.4,0.1
Tottenham,2,1.541666667,1.317894234,1.017699115,93.4,0.1
West Ham Utd,1.208333333,1.916666667,0.796227767,1.265247548,93.4,0.1
Wolverhampton,1.416666667,2.166666667,0.933508416,1.430279837,93.4,0.1
Alaves,1.086956522,1.52173913,0.836120401,1.170568562,91.7,0.1
Athletic Bilbao,1.565217391,0.869565217,1.204013378,0.668896321,91.7,0.1
Atletico Madrid,1.652173913,0.652173913,1.27090301,0.501672241,91.7,0.1
Celta Vigo,1.47826087,1.608695652,1.137123746,1.237458194,91.7,0.1
Espanyol,0.956521739,1.52173913,0.735785953,1.170568562,91.7,0.1
FC Barcelona,2.782608696,1.086956522,2.140468227,0.836120401,91.7,0.1
Getafe,0.782608696,0.739130435,0.602006689,0.568561873,91.7,0.1
Girona,1.347826087,1.434782609,1.036789298,1.10367893,91.7,0.1
Las Palmas,1.217391304,1.652173913,0.936454849,1.27090301,91.7,0.1
Leganes,0.826086957,1.391304348,0.635451505,1.070234114,91.7,0.1
Mallorca,0.869565217,1.260869565,0.668896321,0.969899666,91.7,0.1
Osasuna,1.217391304,1.391304348,0.936454849,1.070234114,91.7,0.1
Rayo Vallecano,1.173913043,1.043478261,0.903010033,0.802675585,91.7,0.1
Real Betis,1.173913043,1.347826087,0.903010033,1.036789298,91.7,0.1
Real Madrid,2.217391304,0.956521739,1.705685619,0.735785953,91.7,0.1
Real Sociedad,0.869565217,0.869565217,0.668896321,0.668896321,91.7,0.1
Sevilla FC,1.086956522,1.47826087,0.836120401,1.137123746,91.7,0.1
Valencia,1.043478261,1.608695652,0.802675585,1.237458194,91.7,0.1
Valladolid,0.652173913,2.086956522,0.501672241,1.605351171,91.7,0.1
Villarreal,2,1.47826087,1.538461538,1.137123746,91.7,0.1
AC Milan,1.52173913,1.043478261,1.115093588,0.765601117,89.9,0.1
AS Roma,1.458333333,1.208333333,1.068631355,0.88655546,89.9,0.1
Atalanta,2.25,1.083333333,1.64874552,0.794842826,89.9,0.1
Bologna,1.52173913,1.173913043,1.115093588,0.861301256,89.9,0.1
Cagliari,1.083333333,1.625,0.793840435,1.192264239,89.9,0.1
Como,1.166666667,1.666666667,0.854905084,1.222835117,89.9,0.1
Empoli,0.916666667,1.458333333,0.671711138,1.069980727,89.9,0.1
Fiorentina,1.708333333,1.041666667,1.251825302,0.764271948,89.9,0.1
Genoa,0.916666667,1.375,0.671711138,1.008838971,89.9,0.1
Hellas Verona,1.083333333,2.208333333,0.793840435,1.62025653,89.9,0.1
Inter Milan,2.416666667,0.958333333,1.770874817,0.703130192,89.9,0.1
Juventus,1.708333333,0.875,1.251825302,0.641988436,89.9,0.1
Lazio,1.875,1.333333333,1.3739546,0.978268093,89.9,0.1
Lecce,0.75,1.708333333,0.54958184,1.253405995,89.9,0.1
Monza,0.875,1.625,0.641178813,1.192264239,89.9,0.1
Napoli,1.625,0.708333333,1.190760653,0.519704925,89.9,0.1
Parma,1.25,1.833333333,0.915969733,1.345118628,89.9,0.1
Torino,1.041666667,1.166666667,0.763308111,0.855984582,89.9,0.1
Udinese,1.208333333,1.541666667,0.885437409,1.131122483,89.9,0.1
Venezia,0.916666667,1.625,0.671711138,1.192264239,89.9,0.1
Bayern Munich,3.095238095,0.904761905,1.924342105,0.5625,90.1,0.1
Bochum,0.904761905,2.19047619,0.5625,1.361842105,90.1,0.1
Dortmund,1.761904762,1.714285714,1.095394737,1.065789474,90.1,0.1
E. Frankfurt,2.19047619,1.333333333,1.361842105,0.828947368,90.1,0.1
FC Augsburg,1.142857143,1.666666667,0.710526316,1.036184211,90.1,0.1
Freiburg,1.333333333,1.714285714,0.828947368,1.065789474,90.1,0.1
FSV Mainz,1.571428571,1.142857143,0.976973684,0.710526316,90.1,0.1
Heidenheim,1.19047619,2.047619048,0.740131579,1.273026316,90.1,0.1
Hoffenheim,1.238095238,2.095238095,0.769736842,1.302631579,90.1,0.1
Holstein Kiel,1.571428571,2.571428571,0.976973684,1.598684211,90.1,0.1
Leverkusen,2.333333333,1.285714286,1.450657895,0.799342105,90.1,0.1
Monchengladbach,1.571428571,1.476190476,0.976973684,0.917763158,90.1,0.1
RB Leipzig,1.714285714,1.380952381,1.065789474,0.858552632,90.1,0.1
Sankt Pauli,0.857142857,1.142857143,0.532894737,0.710526316,90.1,0.1
Stuttgart,1.857142857,1.476190476,1.154605263,0.917763158,90.1,0.1
Union Berlin,0.952380952,1.285714286,0.592105263,0.799342105,90.1,0.1
Werder Bremen,1.619047619,1.857142857,1.006578947,1.154605263,90.1,0.1
Wolfsburg,2.047619048,1.666666667,1.273026316,1.036184211,90.1,0.1
Angers,1.047619048,1.476190476,0.716094033,1.009041591,86.2,0.1
Auxerre,1.380952381,1.666666667,0.943942134,1.139240506,86.2,0.1
Brest,1.571428571,1.714285714,1.074141049,1.171790235,86.2,0.1
Le Havre,0.80952381,1.904761905,0.553345389,1.30198915,86.2,0.1
Lens,1.19047619,0.952380952,0.813743219,0.650994575,86.2,0.1
Lille,1.619047619,1.047619048,1.106690778,0.716094033,86.2,0.1
Lyon,1.714285714,1.238095238,1.171790235,0.846292948,86.2,0.1
Marseille,2.142857143,1.19047619,1.464737794,0.813743219,86.2,0.1
Monaco,1.761904762,1.333333333,1.204339964,0.911392405,86.2,0.1
Montpellier,0.952380952,2.285714286,0.650994575,1.56238698,86.2,0.1
Nantes,1.142857143,1.523809524,0.78119349,1.04159132,86.2,0.1
Nice,1.952380952,1.238095238,1.334538879,0.846292948,86.2,0.1
Paris SG,2.761904762,0.952380952,1.887884268,0.650994575,86.2,0.1
Reims,1.238095238,1.571428571,0.846292948,1.074141049,86.2,0.1
Rennes,1.380952381,1.428571429,0.943942134,0.976491863,86.2,0.1
Saint-Etienne,0.904761905,2.142857143,0.618444846,1.464737794,86.2,0.1
Strasbourg,1.666666667,1.523809524,1.139240506,1.04159132,86.2,0.1
Toulouse,1.095238095,1.142857143,0.748643761,0.78119349,86.2,0.1
Benfica,2.333333333,0.857142857,1.803680982,0.662576687,84.5,0.1
Sporting CP,2.714285714,0.761904762,2.098159509,0.588957055,84.5,0.1
Celtic,2.92,0.48,2.009174312,0.330275229,68.8,0.1
Club Brugge,2.16,1.12,1.588235294,0.823529412,78.3,0.1
Red Star,1.111111111,2,0.823798627,1.487091222,71.3,0.1
Feyenoord,2.19047619,1.238095238,1.435234794,0.813591466,78.2,0.1
PSV Eindhoven,3.136363636,1.090909091,2.054995273,0.716870802,78.2,0.1
Dinamo Zagreb,2,1.285714286,1.609195402,1.034482759,78.1,0.1
Slovan Bratislava,2.277777778,1.166666667,1.662162162,0.851351351,71.7,0.1
Salzburg,1.529411765,1.117647059,1.114285714,0.814285714,75.2,0.1
Sturm Graz,2.470588235,1.058823529,1.8,0.771428571,75.2,0.1
Shakhtar,2.5625,0.9375,2.179401993,0.799529688,69.1,0.1
Sparta Prague,1.857142857,1.285714286,1.448700777,1.001337256,78.1,0.1
BSC Young Boys,1.285714286,1.642857143,0.870967742,1.112903226,77.2,0.1
