Team,GF,GA,wGF,wGA,wLeague,HomeAdv
Liverpool,1.66,1.376,1.218,1.01,90.6,0.1
Chelsea,1.781,1.348,1.307,0.989,90.6,0.1
Arsenal,2.036,0.68,1.494,0.499,90.6,0.1
Tottenham,1.133,1.725,0.831,1.266,90.6,0.1
Everton,1.291,1.049,0.948,0.77,90.6,0.1
Sunderland,1.029,1.207,0.755,0.886,90.6,0.1
Bournemouth,1.453,1.575,1.066,1.156,90.6,0.1
Crystal Palace,1.024,1.239,0.752,0.909,90.6,0.1
Manchester Utd,1.615,1.462,1.186,1.073,90.6,0.1
Nottm Forest,0.907,1.34,0.666,0.984,90.6,0.1
Brighton,1.59,1.049,1.167,0.77,90.6,0.1
Leeds Utd,1.198,1.389,0.88,1.019,90.6,0.1
Manchester City,2.03,0.912,1.49,0.669,90.6,0.1
Burnley,1.03125,1.96875,0.756880734,1.444954128,90.6,0.1
Brentford,1.598,1.21,1.172,0.888,90.6,0.1
West Ham Utd,1.25,1.78125,0.917431193,1.30733945,90.6,0.1
Newcastle Utd,1.462,1.518,1.073,1.115,90.6,0.1
Fulham,1.368,1.543,1.004,1.133,90.6,0.1
Aston Villa,1.219,1.449,0.894,1.064,90.6,0.1
Wolverhampton,0.75,1.8125,0.550458716,1.330275229,90.6,0.1
Real Madrid,2.303,0.923,1.704,0.684,84.8,0.1
Athletic Bilbao,1.086,1.695,0.803,1.254,84.8,0.1
Villarreal,1.915,1.489,1.416,1.102,84.8,0.1
FC Barcelona,3.005,0.834,2.223,0.617,84.8,0.1
Espanyol,1.645,1.212,1.217,0.896,84.8,0.1
Getafe,0.658,1.433,0.486,1.059,84.8,0.1
Elche,1.068,1.859,0.79,1.374,84.8,0.1
Real Betis,1.37,0.911,1.015,0.674,84.8,0.1
Valencia,0.827,1.172,0.613,0.866,84.8,0.1
Rayo Vallecano,0.981,1.355,0.723,1.003,84.8,0.1
Alaves,1.508,0.977,1.114,0.723,84.8,0.1
Sevilla FC,1.731,1.407,1.28,1.042,84.8,0.1
Osasuna,1.064,1.094,0.787,0.809,84.8,0.1
Celta Vigo,1.163,0.992,0.861,0.734,84.8,0.1
Real Oviedo,0.689655172,1.655172414,0.510204082,1.224489796,84.8,0.1
Atletico Madrid,1.807,0.845,1.338,0.625,84.8,0.1
Real Sociedad,1.169,1.654,0.864,1.224,84.8,0.1
Mallorca,1.172413793,1.620689655,0.867346939,1.198979592,84.8,0.1
